flow_id,timestamp,src_ip,src_port,dst_ip,dst_port,protocol,duration,packets_count,fwd_packets_count,bwd_packets_count,total_payload_bytes,fwd_total_payload_bytes,bwd_total_payload_bytes,payload_bytes_max,payload_bytes_min,payload_bytes_mean,payload_bytes_std,payload_bytes_variance,fwd_payload_bytes_max,fwd_payload_bytes_min,fwd_payload_bytes_mean,fwd_payload_bytes_std,fwd_payload_bytes_variance,bwd_payload_bytes_max,bwd_payload_bytes_min,bwd_payload_bytes_mean,bwd_payload_bytes_std,bwd_payload_bytes_variance,total_header_bytes,max_header_bytes,min_header_bytes,mean_header_bytes,std_header_bytes,fwd_total_header_bytes,fwd_max_header_bytes,fwd_min_header_bytes,fwd_mean_header_bytes,fwd_std_header_bytes,bwd_total_header_bytes,bwd_max_header_bytes,bwd_min_header_bytes,bwd_mean_header_bytes,bwd_std_header_bytes,fwd_avg_segment_size,bwd_avg_segment_size,avg_segment_size,fwd_init_win_bytes,bwd_init_win_bytes,active_min,active_max,active_mean,active_std,idle_min,idle_max,idle_mean,idle_std,bytes_rate,fwd_bytes_rate,bwd_bytes_rate,packets_rate,bwd_packets_rate,fwd_packets_rate,down_up_rate,avg_fwd_bytes_per_bulk,avg_fwd_packets_per_bulk,avg_fwd_bulk_rate,avg_bwd_bytes_per_bulk,avg_bwd_packets_bulk_rate,avg_bwd_bulk_rate,fwd_bulk_state_count,fwd_bulk_total_size,fwd_bulk_per_packet,fwd_bulk_duration,bwd_bulk_state_count,bwd_bulk_total_size,bwd_bulk_per_packet,bwd_bulk_duration,fin_flag_counts,psh_flag_counts,urg_flag_counts,ece_flag_counts,syn_flag_counts,ack_flag_counts,cwr_flag_counts,rst_flag_counts,fwd_fin_flag_counts,fwd_psh_flag_counts,fwd_urg_flag_counts,fwd_ece_flag_counts,fwd_syn_flag_counts,fwd_ack_flag_counts,fwd_cwr_flag_counts,fwd_rst_flag_counts,bwd_fin_flag_counts,bwd_psh_flag_counts,bwd_urg_flag_counts,bwd_ece_flag_counts,bwd_syn_flag_counts,bwd_ack_flag_counts,bwd_cwr_flag_counts,bwd_rst_flag_counts,packets_IAT_mean,packet_IAT_std,packet_IAT_max,packet_IAT_min,packet_IAT_total,fwd_packets_IAT_mean,fwd_packets_IAT_std,fwd_packets_IAT_max,fwd_packets_IAT_min,fwd_packets_IAT_total,bwd_packets_IAT_mean,bwd_packets_IAT_std,bwd_packets_IAT_max,bwd_packets_IAT_min,bwd_packets_IAT_total,subflow_fwd_packets,subflow_bwd_packets,subflow_fwd_bytes,subflow_bwd_bytes,label,flow_id
192.168.10.9_1841_205.174.165.73_8080_TCP_2017-07-07 09:04:13.990571,04:14.0,192.168.10.9,1841,205.174.165.73,8080,TCP,0.135358095,8,4,4,322,194,128,194,0,40.25,71.64103224,5132.4375,194,0,40.25,71.64103224,7056.75,194,0,40.25,71.64103224,3072,184,32,20,23,5.19615242,92,32,20,23,5.19615242,92,32,20,23,5.19615242,48.5,32,40.25,8192,29200,0,0,0,0,0,0,0,0,2378.875084,1433.235299,945.6397849,59.10248656,29.55124328,29.55124328,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,7,0,0,1,1,0,0,1,3,0,0,1,1,0,0,1,4,0,0,0.01933687,0.04563772,0.131123066,0.000123024,0.135358095,0.04493729,0.06215722,0.132840872,0.000948906,0.134811878,0.04484407,0.06100847,0.131123066,0.001660109,0.134532213,0,0,0,0,Botnet_ARES,192.168.10.9_1841_205.174.165.73_8080_TCP_2017-07-07 09:04:13.990572
192.168.10.9_1845_205.174.165.73_8080_TCP_2017-07-07 09:04:24.131090,04:24.1,192.168.10.9,1845,205.174.165.73,8080,TCP,0.1285851,8,4,4,322,194,128,194,0,40.25,71.64103224,5132.4375,194,0,40.25,71.64103224,7056.75,194,0,40.25,71.64103224,3072,184,32,20,23,5.19615242,92,32,20,23,5.19615242,92,32,20,23,5.19615242,48.5,32,40.25,8192,29200,0,0,0,0,0,0,0,0,2504.178163,1508.728459,995.4497047,62.21560655,31.10780327,31.10780327,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,7,0,0,1,1,0,0,1,3,0,0,1,1,0,0,1,4,0,0,0.0183693,0.04324157,0.124285936,7.51E-05,0.1285851,0.04259372,0.05892923,0.125931978,0.000745058,0.127781153,0.04263838,0.05773361,0.124285936,0.001701117,0.127915144,0,0,0,0,Botnet_ARES,192.168.10.9_1845_205.174.165.73_8080_TCP_2017-07-07 09:04:24.131091
192.168.10.9_1846_205.174.165.73_8080_TCP_2017-07-07 09:04:34.262355,04:34.3,192.168.10.9,1846,205.174.165.73,8080,TCP,0.166354895,10,5,5,325,194,131,194,0,32.5,65.92912862,4346.65,194,0,32.5,65.92912862,6021.76,194,0,32.5,65.92912862,2592.16,224,32,20,22.4,4.8,112,32,20,22.4,4.8,112,32,20,22.4,4.8,38.8,26.2,32.5,8192,29200,0,0,0,0,0,0,0,0,1953.654569,1166.181497,787.4730725,60.11244828,30.05622414,30.05622414,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,2,9,0,0,1,1,0,0,1,4,0,0,1,2,0,0,1,5,0,0,0.01848388,0.05134106,0.163697004,4.32E-05,0.166354895,0.04145247,0.07103439,0.164486885,4.32E-05,0.16580987,0.04146725,0.07057071,0.163697004,0.000203848,0.165868998,0,0,0,0,Botnet_ARES,192.168.10.9_1846_205.174.165.73_8080_TCP_2017-07-07 09:04:34.262356
192.168.10.9_1847_205.174.165.73_8080_TCP_2017-07-07 09:04:34.526581,04:34.5,192.168.10.9,1847,205.174.165.73,8080,TCP,0.065548897,8,4,4,1986,1858,128,1858,0,248.25,609.869197,371940.4375,1858,0,248.25,609.869197,647280.75,1858,0,248.25,609.869197,3072,184,32,20,23,5.19615242,92,32,20,23,5.19615242,92,32,20,23,5.19615242,464.5,32,248.25,8192,29200,0,0,0,0,0,0,0,0,30297.99275,28345.25203,1952.740721,122.0462951,61.02314754,61.02314754,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,7,0,0,1,1,0,0,1,3,0,0,1,1,0,0,1,4,0,0,0.00936413,0.02158646,0.062232971,5.51E-05,0.065548897,0.02167765,0.03003956,0.064157963,7.61E-05,0.065032959,0.02160168,0.0287315,0.062232971,0.001017094,0.064805031,0,0,0,0,Botnet_ARES,192.168.10.9_1847_205.174.165.73_8080_TCP_2017-07-07 09:04:34.526582
192.168.10.9_1848_205.174.165.73_8080_TCP_2017-07-07 09:04:44.594895,04:44.6,192.168.10.9,1848,205.174.165.73,8080,TCP,0.080872059,8,4,4,322,194,128,194,0,40.25,71.64103224,5132.4375,194,0,40.25,71.64103224,7056.75,194,0,40.25,71.64103224,3072,184,32,20,23,5.19615242,92,32,20,23,5.19615242,92,32,20,23,5.19615242,48.5,32,40.25,8192,29200,0,0,0,0,0,0,0,0,3981.597656,2398.850761,1582.746894,98.92168089,49.46084044,49.46084044,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,7,0,0,1,1,0,0,1,3,0,0,1,1,0,0,1,4,0,0,0.01155315,0.02704389,0.077791929,4.10E-05,0.080872059,0.02670169,0.03721774,0.079334021,4.10E-05,0.080105066,0.02676129,0.03608753,0.077791929,0.000637054,0.08028388,0,0,0,0,Botnet_ARES,192.168.10.9_1848_205.174.165.73_8080_TCP_2017-07-07 09:04:44.594896
192.168.10.9_1851_205.174.165.73_8080_TCP_2017-07-07 09:04:54.742598,04:54.7,192.168.10.9,1851,205.174.165.73,8080,TCP,0.082676888,8,4,4,322,194,128,194,0,40.25,71.64103224,5132.4375,194,0,40.25,71.64103224,7056.75,194,0,40.25,71.64103224,3072,184,32,20,23,5.19615242,92,32,20,23,5.19615242,92,32,20,23,5.19615242,48.5,32,40.25,8192,29200,0,0,0,0,0,0,0,0,3894.679755,2346.484076,1548.195679,96.76222994,48.38111497,48.38111497,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,7,0,0,1,1,0,0,1,3,0,0,1,1,0,0,1,4,0,0,0.01181098,0.02786795,0.080070019,1.91E-05,0.082676888,0.02734995,0.03819523,0.08136487,1.91E-05,0.082049847,0.02735662,0.03727559,0.080070019,0.000577927,0.082069874,0,0,0,0,Botnet_ARES,192.168.10.9_1851_205.174.165.73_8080_TCP_2017-07-07 09:04:54.742599
192.168.10.9_1852_205.174.165.73_8080_TCP_2017-07-07 09:05:04.842957,05:04.8,192.168.10.9,1852,205.174.165.73,8080,TCP,0.091160059,8,4,4,322,194,128,194,0,40.25,71.64103224,5132.4375,194,0,40.25,71.64103224,7056.75,194,0,40.25,71.64103224,3072,184,32,20,23,5.19615242,92,32,20,23,5.19615242,92,32,20,23,5.19615242,48.5,32,40.25,8192,29200,0,0,0,0,0,0,0,0,3532.248702,2128.124994,1404.123708,87.75773173,43.87886586,43.87886586,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,7,0,0,1,1,0,0,1,3,0,0,1,1,0,0,1,4,0,0,0.01302287,0.03054871,0.087846994,5.91E-05,0.091160059,0.03011862,0.04190829,0.089383841,5.91E-05,0.090355873,0.03012737,0.04081693,0.087846994,0.000662088,0.090382099,0,0,0,0,Botnet_ARES,192.168.10.9_1852_205.174.165.73_8080_TCP_2017-07-07 09:05:04.842958
192.168.10.9_1853_205.174.165.73_8080_TCP_2017-07-07 09:05:14.938948,05:14.9,192.168.10.9,1853,205.174.165.73,8080,TCP,0.078315973,8,4,4,322,194,128,194,0,40.25,71.64103224,5132.4375,194,0,40.25,71.64103224,7056.75,194,0,40.25,71.64103224,3072,184,32,20,23,5.19615242,92,32,20,23,5.19615242,92,32,20,23,5.19615242,48.5,32,40.25,8192,29200,0,0,0,0,0,0,0,0,4111.54949,2477.144724,1634.404766,102.1502979,51.07514894,51.07514894,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,7,0,0,1,1,0,0,1,3,0,0,1,1,0,0,1,4,0,0,0.011188,0.02613268,0.075195074,3.98E-05,0.078315973,0.02583806,0.03593385,0.076654196,3.98E-05,0.077514172,0.02587867,0.034875,0.075195074,0.000657082,0.077636003,0,0,0,0,Botnet_ARES,192.168.10.9_1853_205.174.165.73_8080_TCP_2017-07-07 09:05:14.938949
192.168.10.9_1854_205.174.165.73_8080_TCP_2017-07-07 09:05:25.032030,05:25.0,192.168.10.9,1854,205.174.165.73,8080,TCP,0.076202869,8,4,4,322,194,128,194,0,40.25,71.64103224,5132.4375,194,0,40.25,71.64103224,7056.75,194,0,40.25,71.64103224,3072,184,32,20,23,5.19615242,92,32,20,23,5.19615242,92,32,20,23,5.19615242,48.5,32,40.25,8192,29200,0,0,0,0,0,0,0,0,4225.562665,2545.835892,1679.726774,104.9829234,52.49146168,52.49146168,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,7,0,0,1,1,0,0,1,3,0,0,1,1,0,0,1,4,0,0,0.01088612,0.02550406,0.073354006,4.32E-05,0.076202869,0.02520927,0.03502282,0.074736834,4.32E-05,0.075627804,0.02516198,0.03407889,0.073354006,0.000616074,0.075485945,0,0,0,0,Botnet_ARES,192.168.10.9_1854_205.174.165.73_8080_TCP_2017-07-07 09:05:25.032031
192.168.10.9_1857_205.174.165.73_8080_TCP_2017-07-07 09:05:35.125218,05:35.1,192.168.10.9,1857,205.174.165.73,8080,TCP,0.083302975,8,4,4,322,194,128,194,0,40.25,71.64103224,5132.4375,194,0,40.25,71.64103224,7056.75,194,0,40.25,71.64103224,3072,184,32,20,23,5.19615242,92,32,20,23,5.19615242,92,32,20,23,5.19615242,48.5,32,40.25,8192,29200,0,0,0,0,0,0,0,0,3865.408182,2328.848408,1536.559774,96.03498589,48.01749295,48.01749295,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,7,0,0,1,1,0,0,1,3,0,0,1,1,0,0,1,4,0,0,0.01190042,0.02805252,0.080610991,5.70E-05,0.083302975,0.02758201,0.03855126,0.082100868,5.70E-05,0.082746029,0.02761531,0.0374756,0.080610991,0.000643969,0.082845926,0,0,0,0,Botnet_ARES,192.168.10.9_1857_205.174.165.73_8080_TCP_2017-07-07 09:05:35.125219
