flow_id,timestamp,src_ip,src_port,dst_ip,dst_port,protocol,duration,packets_count,fwd_packets_count,bwd_packets_count,total_payload_bytes,fwd_total_payload_bytes,bwd_total_payload_bytes,payload_bytes_max,payload_bytes_min,payload_bytes_mean,payload_bytes_std,payload_bytes_variance,fwd_payload_bytes_max,fwd_payload_bytes_min,fwd_payload_bytes_mean,fwd_payload_bytes_std,fwd_payload_bytes_variance,bwd_payload_bytes_max,bwd_payload_bytes_min,bwd_payload_bytes_mean,bwd_payload_bytes_std,bwd_payload_bytes_variance,total_header_bytes,max_header_bytes,min_header_bytes,mean_header_bytes,std_header_bytes,fwd_total_header_bytes,fwd_max_header_bytes,fwd_min_header_bytes,fwd_mean_header_bytes,fwd_std_header_bytes,bwd_total_header_bytes,bwd_max_header_bytes,bwd_min_header_bytes,bwd_mean_header_bytes,bwd_std_header_bytes,fwd_avg_segment_size,bwd_avg_segment_size,avg_segment_size,fwd_init_win_bytes,bwd_init_win_bytes,active_min,active_max,active_mean,active_std,idle_min,idle_max,idle_mean,idle_std,bytes_rate,fwd_bytes_rate,bwd_bytes_rate,packets_rate,bwd_packets_rate,fwd_packets_rate,down_up_rate,avg_fwd_bytes_per_bulk,avg_fwd_packets_per_bulk,avg_fwd_bulk_rate,avg_bwd_bytes_per_bulk,avg_bwd_packets_bulk_rate,avg_bwd_bulk_rate,fwd_bulk_state_count,fwd_bulk_total_size,fwd_bulk_per_packet,fwd_bulk_duration,bwd_bulk_state_count,bwd_bulk_total_size,bwd_bulk_per_packet,bwd_bulk_duration,fin_flag_counts,psh_flag_counts,urg_flag_counts,ece_flag_counts,syn_flag_counts,ack_flag_counts,cwr_flag_counts,rst_flag_counts,fwd_fin_flag_counts,fwd_psh_flag_counts,fwd_urg_flag_counts,fwd_ece_flag_counts,fwd_syn_flag_counts,fwd_ack_flag_counts,fwd_cwr_flag_counts,fwd_rst_flag_counts,bwd_fin_flag_counts,bwd_psh_flag_counts,bwd_urg_flag_counts,bwd_ece_flag_counts,bwd_syn_flag_counts,bwd_ack_flag_counts,bwd_cwr_flag_counts,bwd_rst_flag_counts,packets_IAT_mean,packet_IAT_std,packet_IAT_max,packet_IAT_min,packet_IAT_total,fwd_packets_IAT_mean,fwd_packets_IAT_std,fwd_packets_IAT_max,fwd_packets_IAT_min,fwd_packets_IAT_total,bwd_packets_IAT_mean,bwd_packets_IAT_std,bwd_packets_IAT_max,bwd_packets_IAT_min,bwd_packets_IAT_total,subflow_fwd_packets,subflow_bwd_packets,subflow_fwd_bytes,subflow_bwd_bytes,label
172.16.0.1_51684_192.168.10.50_80_TCP_2017-07-07 14:56:34.450759,56:34.5,172.16.0.1,51684,192.168.10.50,80,TCP,9.157588959,14,8,6,11615,20,11595,4380,0,829.6428571,1420.355167,2017408.801,4380,0,829.6428571,1420.355167,43.75,4380,0,829.6428571,1420.355167,2578714.583,304,32,20,21.71428571,4.19912527,172,32,20,21.5,3.96862697,132,32,20,22,4.47213595,2.5,1932.5,829.6428571,8192,29200,0,0,0,0,0,0,0,0,1268.346947,2.183980968,1266.162966,1.528786678,0.65519429,0.873592387,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,13,0,1,0,1,0,0,1,7,0,1,1,1,0,0,1,6,0,0,0.70442992,2.1458818,8.072663784,4.10E-05,9.157588959,1.30822699,2.78605959,8.072663784,0.000247002,9.157588959,0.21668139,0.4267912,1.070205927,4.10E-05,1.083406925,4,3,10,10,DDoS_LOIT
172.16.0.1_51685_192.168.10.50_80_TCP_2017-07-07 14:56:37.458009,56:37.5,172.16.0.1,51685,192.168.10.50,80,TCP,6.150288105,14,8,6,11615,20,11595,5840,0,829.6428571,1793.805277,3217737.372,5840,0,829.6428571,1793.805277,43.75,5840,0,829.6428571,1793.805277,5379481.25,304,32,20,21.71428571,4.19912527,172,32,20,21.5,3.96862697,132,32,20,22,4.47213595,2.5,1932.5,829.6428571,8192,29200,0,0,0,0,0,0,0,0,1888.529415,3.251880182,1885.277535,2.276316127,0.975564054,1.300752073,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,13,0,1,0,1,0,0,1,7,0,1,1,1,0,0,1,6,0,0,0.47309909,1.52495138,5.742523193,2.86E-06,6.150288105,0.87861259,1.99061555,5.742523193,3.10E-06,6.150288105,0.08121419,0.16207463,0.405363083,2.86E-06,0.406070948,8,6,20,20,DDoS_LOIT
172.16.0.1_51686_192.168.10.50_80_TCP_2017-07-07 14:56:35.197578,56:35.2,172.16.0.1,51686,192.168.10.50,80,TCP,8.41071701,14,8,6,11615,20,11595,5840,0,829.6428571,1793.805277,3217737.372,5840,0,829.6428571,1793.805277,43.75,5840,0,829.6428571,1793.805277,5379481.25,304,32,20,21.71428571,4.19912527,172,32,20,21.5,3.96862697,132,32,20,22,4.47213595,2.5,1932.5,829.6428571,8192,29200,0,0,0,0,0,0,0,0,1380.976198,2.37791855,1378.598279,1.664542985,0.713375565,0.95116742,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,13,0,1,0,1,0,0,1,7,0,1,1,1,0,0,1,6,0,0,0.64697823,2.06227669,7.766504049,2.86E-06,8.41071701,1.201531,2.6892818,7.766504049,1.81E-05,8.41071701,0.1284986,0.25659788,0.641694069,2.86E-06,0.64249301,8,6,20,20,DDoS_LOIT
172.16.0.1_51688_192.168.10.50_80_TCP_2017-07-07 14:56:35.851361,56:35.9,172.16.0.1,51688,192.168.10.50,80,TCP,7.757912874,13,8,5,11615,20,11595,10135,0,893.4615385,2695.761192,7267128.402,10135,0,893.4615385,2695.761192,43.75,10135,0,893.4615385,2695.761192,15592204,284,32,20,21.84615385,4.32961455,172,32,20,21.5,3.96862697,112,32,20,22.4,4.8,2.5,2319,893.4615385,8192,29200,0,0,0,0,0,0,0,0,1497.181032,2.578012969,1494.603019,1.67570843,0.644503242,1.031205187,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,12,0,1,0,1,0,0,1,7,0,1,1,1,0,0,1,5,0,0,0.64649274,1.94699036,7.073920012,9.54E-07,7.757912874,1.10827327,2.44680155,7.073920012,9.54E-07,7.757912874,0.17063075,0.29490985,0.681429148,4.05E-06,0.682523012,8,5,20,20,DDoS_LOIT
172.16.0.1_51687_192.168.10.50_80_TCP_2017-07-07 14:56:35.546062,56:35.5,172.16.0.1,51687,192.168.10.50,80,TCP,8.063396931,14,8,6,11615,20,11595,5840,0,829.6428571,1793.805277,3217737.372,5840,0,829.6428571,1793.805277,43.75,5840,0,829.6428571,1793.805277,5379481.25,304,32,20,21.71428571,4.19912527,172,32,20,21.5,3.96862697,132,32,20,22,4.47213595,2.5,1932.5,829.6428571,8192,29200,0,0,0,0,0,0,0,0,1440.459908,2.480344224,1437.979564,1.736240957,0.744103267,0.992137689,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,13,0,1,0,1,0,0,1,7,0,1,1,1,0,0,1,6,0,0,0.6202613,2.06135685,7.755491972,3.10E-06,8.063396931,1.15191385,2.69796712,7.755491972,1.91E-05,8.063396931,0.06122804,0.12207271,0.305372953,3.10E-06,0.306140184,8,6,20,20,DDoS_LOIT
172.16.0.1_51689_192.168.10.50_80_TCP_2017-07-07 14:56:35.863919,56:35.9,172.16.0.1,51689,192.168.10.50,80,TCP,7.744402885,14,8,6,11615,20,11595,4380,0,829.6428571,1615.149777,2608708.801,4380,0,829.6428571,1615.149777,43.75,4380,0,829.6428571,1615.149777,3958414.583,304,32,20,21.71428571,4.19912527,172,32,20,21.5,3.96862697,132,32,20,22,4.47213595,2.5,1932.5,829.6428571,8192,29200,0,0,0,0,0,0,0,0,1499.79284,2.582510272,1497.21033,1.80775719,0.774753082,1.033004109,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,13,0,1,0,1,0,0,1,7,0,1,1,1,0,0,1,6,0,0,0.5957233,1.87789941,7.071787834,2.86E-06,7.744402885,1.10634327,2.44634619,7.071787834,3.10E-06,7.744402885,0.13402081,0.26762227,0.669265032,2.86E-06,0.670104027,8,6,20,20,DDoS_LOIT
172.16.0.1_51690_192.168.10.50_80_TCP_2017-07-07 14:56:36.193416,56:36.2,172.16.0.1,51690,192.168.10.50,80,TCP,7.413697958,14,8,6,11615,20,11595,4380,0,829.6428571,1615.149777,2608708.801,4380,0,829.6428571,1615.149777,43.75,4380,0,829.6428571,1615.149777,3958414.583,304,32,20,21.71428571,4.19912527,172,32,20,21.5,3.96862697,132,32,20,22,4.47213595,2.5,1932.5,829.6428571,8192,29200,0,0,0,0,0,0,0,0,1566.694525,2.69770904,1563.996816,1.888396328,0.809312712,1.079083616,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,13,0,1,0,1,0,0,1,7,0,1,1,1,0,0,1,6,0,0,0.57028446,1.62623692,6.066251993,2.15E-06,7.413697958,1.05909971,2.0962131,6.066251993,1.81E-05,7.413697958,0.26914239,0.53790695,1.34495616,2.15E-06,1.345711946,4,3,10,10,DDoS_LOIT
172.16.0.1_51691_192.168.10.50_80_TCP_2017-07-07 14:56:36.545744,56:36.5,172.16.0.1,51691,192.168.10.50,80,TCP,7.062549114,14,8,6,11615,20,11595,5840,0,829.6428571,1793.805277,3217737.372,5840,0,829.6428571,1793.805277,43.75,5840,0,829.6428571,1793.805277,5379481.25,304,32,20,21.71428571,4.19912527,172,32,20,21.5,3.96862697,132,32,20,22,4.47213595,2.5,1932.5,829.6428571,8192,29200,0,0,0,0,0,0,0,0,1644.590333,2.831838714,1641.758494,1.9822871,0.849551614,1.132735486,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,13,0,1,0,1,0,0,1,7,0,1,1,1,0,0,1,6,0,0,0.54327301,1.55175575,5.790338039,3.10E-06,7.062549114,1.00893559,2.00059648,5.790338039,5.01E-05,7.062549114,0.25411363,0.5078002,1.269713879,3.10E-06,1.270568132,4,3,10,10,DDoS_LOIT
172.16.0.1_51692_192.168.10.50_80_TCP_2017-07-07 14:56:36.546583,56:36.5,172.16.0.1,51692,192.168.10.50,80,TCP,7.060610056,14,8,6,11615,20,11595,5840,0,829.6428571,1793.805277,3217737.372,5840,0,829.6428571,1793.805277,43.75,5840,0,829.6428571,1793.805277,5379481.25,304,32,20,21.71428571,4.19912527,172,32,20,21.5,3.96862697,132,32,20,22,4.47213595,2.5,1932.5,829.6428571,8192,29200,0,0,0,0,0,0,0,0,1645.041988,2.832616423,1642.209371,1.982831496,0.849784927,1.133046569,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,13,0,1,0,1,0,0,1,7,0,1,1,1,0,0,1,6,0,0,0.54312385,1.54878027,5.777266979,3.10E-06,7.060610056,1.00865858,1.99636825,5.777266979,4.05E-06,7.060610056,0.25635519,0.51239547,1.281146049,3.10E-06,1.281775951,4,3,10,10,DDoS_LOIT
172.16.0.1_51693_192.168.10.50_80_TCP_2017-07-07 14:56:37.195724,56:37.2,172.16.0.1,51693,192.168.10.50,80,TCP,6.412636042,14,8,6,11615,20,11595,5840,0,829.6428571,1793.805277,3217737.372,5840,0,829.6428571,1793.805277,43.75,5840,0,829.6428571,1793.805277,5379481.25,304,32,20,21.71428571,4.19912527,172,32,20,21.5,3.96862697,132,32,20,22,4.47213595,2.5,1932.5,829.6428571,8192,29200,0,0,0,0,0,0,0,0,1811.267617,3.118842216,1808.148774,2.183189551,0.935652665,1.247536886,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,13,0,1,0,1,0,0,1,7,0,1,1,1,0,0,1,6,0,0,0.4932797,1.52873003,5.754542112,1.91E-06,6.412636042,0.91609086,1.98821609,5.754542112,4.05E-06,6.412636042,0.13127179,0.26210982,0.655491114,1.91E-06,0.656358957,8,6,20,20,DDoS_LOIT
