flow_id,timestamp,src_ip,src_port,dst_ip,dst_port,protocol,duration,packets_count,fwd_packets_count,bwd_packets_count,total_payload_bytes,fwd_total_payload_bytes,bwd_total_payload_bytes,payload_bytes_max,payload_bytes_min,payload_bytes_mean,payload_bytes_std,payload_bytes_variance,fwd_payload_bytes_max,fwd_payload_bytes_min,fwd_payload_bytes_mean,fwd_payload_bytes_std,fwd_payload_bytes_variance,bwd_payload_bytes_max,bwd_payload_bytes_min,bwd_payload_bytes_mean,bwd_payload_bytes_std,bwd_payload_bytes_variance,total_header_bytes,max_header_bytes,min_header_bytes,mean_header_bytes,std_header_bytes,fwd_total_header_bytes,fwd_max_header_bytes,fwd_min_header_bytes,fwd_mean_header_bytes,fwd_std_header_bytes,bwd_total_header_bytes,bwd_max_header_bytes,bwd_min_header_bytes,bwd_mean_header_bytes,bwd_std_header_bytes,fwd_avg_segment_size,bwd_avg_segment_size,avg_segment_size,fwd_init_win_bytes,bwd_init_win_bytes,active_min,active_max,active_mean,active_std,idle_min,idle_max,idle_mean,idle_std,bytes_rate,fwd_bytes_rate,bwd_bytes_rate,packets_rate,bwd_packets_rate,fwd_packets_rate,down_up_rate,avg_fwd_bytes_per_bulk,avg_fwd_packets_per_bulk,avg_fwd_bulk_rate,avg_bwd_bytes_per_bulk,avg_bwd_packets_bulk_rate,avg_bwd_bulk_rate,fwd_bulk_state_count,fwd_bulk_total_size,fwd_bulk_per_packet,fwd_bulk_duration,bwd_bulk_state_count,bwd_bulk_total_size,bwd_bulk_per_packet,bwd_bulk_duration,fin_flag_counts,psh_flag_counts,urg_flag_counts,ece_flag_counts,syn_flag_counts,ack_flag_counts,cwr_flag_counts,rst_flag_counts,fwd_fin_flag_counts,fwd_psh_flag_counts,fwd_urg_flag_counts,fwd_ece_flag_counts,fwd_syn_flag_counts,fwd_ack_flag_counts,fwd_cwr_flag_counts,fwd_rst_flag_counts,bwd_fin_flag_counts,bwd_psh_flag_counts,bwd_urg_flag_counts,bwd_ece_flag_counts,bwd_syn_flag_counts,bwd_ack_flag_counts,bwd_cwr_flag_counts,bwd_rst_flag_counts,packets_IAT_mean,packet_IAT_std,packet_IAT_max,packet_IAT_min,packet_IAT_total,fwd_packets_IAT_mean,fwd_packets_IAT_std,fwd_packets_IAT_max,fwd_packets_IAT_min,fwd_packets_IAT_total,bwd_packets_IAT_mean,bwd_packets_IAT_std,bwd_packets_IAT_max,bwd_packets_IAT_min,bwd_packets_IAT_total,subflow_fwd_packets,subflow_bwd_packets,subflow_fwd_bytes,subflow_bwd_bytes,label
172.16.0.1_53426_192.168.10.50_80_TCP_2017-07-05 08:48:46.222403,48:46.2,172.16.0.1,53426,192.168.10.50,80,TCP,0.551564932,8,4,4,714,231,483,483,0,89.25,166.9301875,27865.6875,483,0,89.25,166.9301875,10005.1875,483,0,89.25,166.9301875,43741.6875,272,40,32,34,3.46410162,136,40,32,34,3.46410162,136,40,32,34,3.46410162,57.75,120.75,89.25,29200,28960,0,0,0,0,0,0,0,0,1294.498542,418.8083518,875.69019,14.50418534,7.252092671,7.252092671,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,7,0,0,1,1,0,0,1,3,0,0,1,1,0,0,1,4,0,0,0.07879499,0.19246876,0.550245047,4.05E-06,0.551564932,0.1837213,0.25922592,0.550322056,0.000229836,0.551163912,0.18382899,0.2593762,0.550642014,4.05E-06,0.551486969,0,0,0,0,DoS_Slowloris
172.16.0.1_53428_192.168.10.50_80_TCP_2017-07-05 08:48:46.223319,48:46.2,172.16.0.1,53428,192.168.10.50,80,TCP,0.550714016,8,4,4,714,231,483,483,0,89.25,166.9301875,27865.6875,483,0,89.25,166.9301875,10005.1875,483,0,89.25,166.9301875,43741.6875,272,40,32,34,3.46410162,136,40,32,34,3.46410162,136,40,32,34,3.46410162,57.75,120.75,89.25,29200,28960,0,0,0,0,0,0,0,0,1296.49869,419.4554584,877.0432312,14.52659596,7.263297981,7.263297981,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,7,0,0,1,1,0,0,1,3,0,0,1,1,0,0,1,4,0,0,0.07867343,0.19227508,0.549649,9.54E-07,0.550714016,0.1834143,0.25901096,0.549710989,4.05E-06,0.550242901,0.1835657,0.25919255,0.550119162,9.54E-07,0.550697088,0,0,0,0,DoS_Slowloris
172.16.0.1_53432_192.168.10.50_80_TCP_2017-07-05 08:48:46.223898,48:46.2,172.16.0.1,53432,192.168.10.50,80,TCP,0.550232172,8,4,4,714,231,483,483,0,89.25,166.9301875,27865.6875,483,0,89.25,166.9301875,10005.1875,483,0,89.25,166.9301875,43741.6875,272,40,32,34,3.46410162,136,40,32,34,3.46410162,136,40,32,34,3.46410162,57.75,120.75,89.25,29200,28960,0,0,0,0,0,0,0,0,1297.634047,419.8227798,877.8112669,14.53931705,7.269658525,7.269658525,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,7,0,0,1,1,0,0,1,3,0,0,1,1,0,0,1,4,0,0,0.0786046,0.19207748,0.549096107,1.19E-06,0.550232172,0.18321935,0.25875784,0.549158096,3.81E-06,0.54965806,0.1834054,0.25898759,0.549669027,1.19E-06,0.550216198,0,0,0,0,DoS_Slowloris
172.16.0.1_53430_192.168.10.50_80_TCP_2017-07-05 08:48:46.223829,48:46.2,172.16.0.1,53430,192.168.10.50,80,TCP,0.550346851,8,4,4,714,231,483,483,0,89.25,166.9301875,27865.6875,483,0,89.25,166.9301875,10005.1875,483,0,89.25,166.9301875,43741.6875,272,40,32,34,3.46410162,136,40,32,34,3.46410162,136,40,32,34,3.46410162,57.75,120.75,89.25,29200,28960,0,0,0,0,0,0,0,0,1297.36365,419.7352986,877.6283517,14.5362874,7.268143699,7.268143699,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,7,0,0,1,1,0,0,1,3,0,0,1,1,0,0,1,4,0,0,0.07862098,0.19199359,0.548907042,3.81E-06,0.550346851,0.18325567,0.25858493,0.548949957,0.000275135,0.549767017,0.18342733,0.25884069,0.549483061,3.81E-06,0.550282001,0,0,0,0,DoS_Slowloris
172.16.0.1_53434_192.168.10.50_80_TCP_2017-07-05 08:48:46.224651,48:46.2,172.16.0.1,53434,192.168.10.50,80,TCP,0.549588919,8,4,4,714,231,483,483,0,89.25,166.9301875,27865.6875,483,0,89.25,166.9301875,10005.1875,483,0,89.25,166.9301875,43741.6875,272,40,32,34,3.46410162,136,40,32,34,3.46410162,136,40,32,34,3.46410162,57.75,120.75,89.25,29200,28960,0,0,0,0,0,0,0,0,1299.152832,420.3141514,878.8386803,14.55633425,7.278167125,7.278167125,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,7,0,0,1,1,0,0,1,3,0,0,1,1,0,0,1,4,0,0,0.0785127,0.19167079,0.548007965,9.54E-07,0.549588919,0.18295964,0.25818483,0.548088074,0.000237942,0.548878908,0.18318431,0.25847089,0.548717022,9.54E-07,0.549552917,0,0,0,0,DoS_Slowloris
172.16.0.1_53436_192.168.10.50_80_TCP_2017-07-05 08:48:46.224719,48:46.2,172.16.0.1,53436,192.168.10.50,80,TCP,0.549569845,8,4,4,714,231,483,483,0,89.25,166.9301875,27865.6875,483,0,89.25,166.9301875,10005.1875,483,0,89.25,166.9301875,43741.6875,272,40,32,34,3.46410162,136,40,32,34,3.46410162,136,40,32,34,3.46410162,57.75,120.75,89.25,29200,28960,0,0,0,0,0,0,0,0,1299.19792,420.328739,878.8691814,14.55683944,7.278419722,7.278419722,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,7,0,0,1,1,0,0,1,3,0,0,1,1,0,0,1,4,0,0,0.07850998,0.19163363,0.547914028,9.54E-07,0.549569845,0.18293134,0.25813209,0.547985077,0.000102997,0.548794031,0.18317628,0.25845667,0.548688889,9.54E-07,0.549528837,0,0,0,0,DoS_Slowloris
172.16.0.1_53440_192.168.10.50_80_TCP_2017-07-05 08:48:46.225575,48:46.2,172.16.0.1,53440,192.168.10.50,80,TCP,0.548819065,8,4,4,714,231,483,483,0,89.25,166.9301875,27865.6875,483,0,89.25,166.9301875,10005.1875,483,0,89.25,166.9301875,43741.6875,272,40,32,34,3.46410162,136,40,32,34,3.46410162,136,40,32,34,3.46410162,57.75,120.75,89.25,29200,28960,0,0,0,0,0,0,0,0,1300.975213,420.9037453,880.0714675,14.57675308,7.288376542,7.288376542,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,7,0,0,1,1,0,0,1,3,0,0,1,1,0,0,1,4,0,0,0.07840272,0.1913128,0.547020912,4.05E-06,0.548819065,0.18262998,0.25772553,0.547108889,0.000257015,0.547889948,0.18291632,0.25811515,0.547945976,4.05E-06,0.54874897,0,0,0,0,DoS_Slowloris
172.16.0.1_53438_192.168.10.50_80_TCP_2017-07-05 08:48:46.225528,48:46.2,172.16.0.1,53438,192.168.10.50,80,TCP,0.548770905,8,4,4,714,231,483,483,0,89.25,166.9301875,27865.6875,483,0,89.25,166.9301875,10005.1875,483,0,89.25,166.9301875,43741.6875,272,40,32,34,3.46410162,136,40,32,34,3.46410162,136,40,32,34,3.46410162,57.75,120.75,89.25,29200,28960,0,0,0,0,0,0,0,0,1301.089387,420.9406842,880.1487032,14.57803235,7.289016176,7.289016176,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,7,0,0,1,1,0,0,1,3,0,0,1,1,0,0,1,4,0,0,0.07839584,0.19143647,0.547317028,1.91E-06,0.548770905,0.18265597,0.25790667,0.547390938,9.06E-06,0.547967911,0.18289431,0.25825233,0.548118114,1.91E-06,0.548682928,0,0,0,0,DoS_Slowloris
172.16.0.1_53442_192.168.10.50_80_TCP_2017-07-05 08:48:46.226333,48:46.2,172.16.0.1,53442,192.168.10.50,80,TCP,0.548107147,8,4,4,714,231,483,483,0,89.25,166.9301875,27865.6875,483,0,89.25,166.9301875,10005.1875,483,0,89.25,166.9301875,43741.6875,272,40,32,34,3.46410162,136,40,32,34,3.46410162,136,40,32,34,3.46410162,57.75,120.75,89.25,29200,28960,0,0,0,0,0,0,0,0,1302.665006,421.450443,881.2145626,14.59568634,7.297843169,7.297843169,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,7,0,0,1,1,0,0,1,3,0,0,1,1,0,0,1,4,0,0,0.07830102,0.19101797,0.546196938,4.05E-06,0.548107147,0.18237138,0.25731802,0.546273947,0.000234127,0.547114134,0.18267099,0.25775118,0.547185898,4.05E-06,0.548012972,0,0,0,0,DoS_Slowloris
172.16.0.1_53446_192.168.10.50_80_TCP_2017-07-05 08:48:46.227287,48:46.2,172.16.0.1,53446,192.168.10.50,80,TCP,0.547215939,8,4,4,714,231,483,483,0,89.25,166.9301875,27865.6875,483,0,89.25,166.9301875,10005.1875,483,0,89.25,166.9301875,43741.6875,272,40,32,34,3.46410162,136,40,32,34,3.46410162,136,40,32,34,3.46410162,57.75,120.75,89.25,29200,28960,0,0,0,0,0,0,0,0,1304.786556,422.136827,882.6497292,14.61945721,7.309728606,7.309728606,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,7,0,0,1,1,0,0,1,3,0,0,1,1,0,0,1,4,0,0,0.07817371,0.19078631,0.545501947,1.91E-06,0.547215939,0.18203696,0.2570609,0.545575857,1.81E-05,0.546110868,0.18238537,0.25754235,0.54660511,1.91E-06,0.547156096,0,0,0,0,DoS_Slowloris
