flow_id,timestamp,src_ip,src_port,dst_ip,dst_port,protocol,duration,packets_count,fwd_packets_count,bwd_packets_count,total_payload_bytes,fwd_total_payload_bytes,bwd_total_payload_bytes,payload_bytes_max,payload_bytes_min,payload_bytes_mean,payload_bytes_std,payload_bytes_variance,fwd_payload_bytes_max,fwd_payload_bytes_min,fwd_payload_bytes_mean,fwd_payload_bytes_std,fwd_payload_bytes_variance,bwd_payload_bytes_max,bwd_payload_bytes_min,bwd_payload_bytes_mean,bwd_payload_bytes_std,bwd_payload_bytes_variance,total_header_bytes,max_header_bytes,min_header_bytes,mean_header_bytes,std_header_bytes,fwd_total_header_bytes,fwd_max_header_bytes,fwd_min_header_bytes,fwd_mean_header_bytes,fwd_std_header_bytes,bwd_total_header_bytes,bwd_max_header_bytes,bwd_min_header_bytes,bwd_mean_header_bytes,bwd_std_header_bytes,fwd_avg_segment_size,bwd_avg_segment_size,avg_segment_size,fwd_init_win_bytes,bwd_init_win_bytes,active_min,active_max,active_mean,active_std,idle_min,idle_max,idle_mean,idle_std,bytes_rate,fwd_bytes_rate,bwd_bytes_rate,packets_rate,bwd_packets_rate,fwd_packets_rate,down_up_rate,avg_fwd_bytes_per_bulk,avg_fwd_packets_per_bulk,avg_fwd_bulk_rate,avg_bwd_bytes_per_bulk,avg_bwd_packets_bulk_rate,avg_bwd_bulk_rate,fwd_bulk_state_count,fwd_bulk_total_size,fwd_bulk_per_packet,fwd_bulk_duration,bwd_bulk_state_count,bwd_bulk_total_size,bwd_bulk_per_packet,bwd_bulk_duration,fin_flag_counts,psh_flag_counts,urg_flag_counts,ece_flag_counts,syn_flag_counts,ack_flag_counts,cwr_flag_counts,rst_flag_counts,fwd_fin_flag_counts,fwd_psh_flag_counts,fwd_urg_flag_counts,fwd_ece_flag_counts,fwd_syn_flag_counts,fwd_ack_flag_counts,fwd_cwr_flag_counts,fwd_rst_flag_counts,bwd_fin_flag_counts,bwd_psh_flag_counts,bwd_urg_flag_counts,bwd_ece_flag_counts,bwd_syn_flag_counts,bwd_ack_flag_counts,bwd_cwr_flag_counts,bwd_rst_flag_counts,packets_IAT_mean,packet_IAT_std,packet_IAT_max,packet_IAT_min,packet_IAT_total,fwd_packets_IAT_mean,fwd_packets_IAT_std,fwd_packets_IAT_max,fwd_packets_IAT_min,fwd_packets_IAT_total,bwd_packets_IAT_mean,bwd_packets_IAT_std,bwd_packets_IAT_max,bwd_packets_IAT_min,bwd_packets_IAT_total,subflow_fwd_packets,subflow_bwd_packets,subflow_fwd_bytes,subflow_bwd_bytes,label
192.168.10.9_1031_192.168.10.3_88_TCP_2017-07-07 08:00:35.357533,00:35.4,192.168.10.9,1031,192.168.10.3,88,TCP,0.000706911,15,8,7,880,466,414,233,0,58.66666667,97.519001,9509.955556,233,0,58.66666667,97.519001,10179.1875,233,0,58.66666667,97.519001,8744.693878,348,32,20,23.2,5.30659966,184,32,20,23,5.19615242,164,32,20,23.42857143,5.42104742,58.25,59.14285714,58.66666667,8192,8192,0,0,0,0,0,0,0,0,1244852.452,659205.9575,585646.4944,21219.07589,9902.235413,11316.84047,0.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,4,13,0,1,2,2,0,0,2,6,0,0,0,2,0,0,2,7,0,1,5.05E-05,0.00010774,0.000429869,9.54E-07,0.000706911,9.51E-05,0.00017315,0.000515938,9.54E-07,0.000665903,0.00010514,0.00016042,0.00045085,9.54E-07,0.000630856,0,0,0,0,Benign
192.168.10.9_1032_192.168.10.3_88_TCP_2017-07-07 08:00:35.374630,00:35.4,192.168.10.9,1032,192.168.10.3,88,TCP,0.000961065,17,10,7,3690,626,3064,1532,0,217.0588235,490.4403148,240531.7024,1532,0,217.0588235,490.4403148,15675.04,1532,0,217.0588235,490.4403148,478984.4898,388,32,20,22.82352941,5.09019004,224,32,20,22.4,4.8,164,32,20,23.42857143,5.42104742,62.6,437.7142857,217.0588235,8192,8192,0,0,0,0,0,0,0,0,3839489.397,651360.5319,3188128.865,17688.70454,7283.584222,10405.12032,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,4,15,0,1,2,2,0,0,2,8,0,0,0,2,0,0,2,7,0,1,6.01E-05,0.00016258,0.000683069,9.54E-07,0.000961065,9.80E-05,0.00023438,0.000757933,9.54E-07,0.00088191,0.00015334,0.00027157,0.000756025,9.54E-07,0.000920057,0,0,0,0,Benign
192.168.10.9_1033_192.168.10.3_88_TCP_2017-07-07 08:00:35.416115,00:35.4,192.168.10.9,1033,192.168.10.3,88,TCP,0.001095057,19,10,9,6140,3104,3036,1552,0,323.1578947,625.8411824,391677.1856,1552,0,323.1578947,625.8411824,385392.64,1552,0,323.1578947,625.8411824,398278.2222,428,32,20,22.52631579,4.89218949,224,32,20,22.4,4.8,204,32,20,22.66666667,4.98887652,310.4,337.3333333,323.1578947,8192,8192,0,0,0,0,0,0,0,0,5607016.451,2834556.851,2772459.6,17350.70237,8218.753756,9131.948617,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,4,17,0,1,2,2,0,0,2,8,0,0,0,2,0,0,2,9,0,1,6.08E-05,0.00018582,0.000824213,9.54E-07,0.001095057,0.00011754,0.000273,0.000886917,9.54E-07,0.001057863,0.00013176,0.00026423,0.000824213,9.54E-07,0.001054049,0,0,0,0,Benign
192.168.10.9_1034_192.168.10.3_88_TCP_2017-07-07 08:00:35.417351,00:35.4,192.168.10.9,1034,192.168.10.3,88,TCP,0.000732899,15,8,7,5614,2794,2820,1410,0,374.2666667,620.6601289,385218.9956,1410,0,374.2666667,620.6601289,365926.6875,1410,0,374.2666667,620.6601289,405734.6939,348,32,20,23.2,5.30659966,184,32,20,23,5.19615242,164,32,20,23.42857143,5.42104742,349.25,402.8571429,374.2666667,8192,8192,0,0,0,0,0,0,0,0,7659994.358,3812259.394,3847734.964,20466.67534,9551.115159,10915.56018,0.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,4,13,0,1,2,2,0,0,2,6,0,0,0,2,0,0,2,7,0,1,5.24E-05,7.39E-05,0.000274897,9.54E-07,0.000732899,8.06E-05,0.00011833,0.000365973,9.54E-07,0.000564098,0.000115,0.00010422,0.000311852,9.54E-07,0.000689983,0,0,0,0,Benign
192.168.10.9_1036_192.168.10.3_88_TCP_2017-07-07 08:00:35.493599,00:35.5,192.168.10.9,1036,192.168.10.3,88,TCP,0.000906944,19,10,9,6178,3130,3048,1565,0,325.1578947,629.7358062,396567.1856,1565,0,325.1578947,629.7358062,391876,1565,0,325.1578947,629.7358062,401432.8889,428,32,20,22.52631579,4.89218949,224,32,20,22.4,4.8,204,32,20,22.66666667,4.98887652,313,338.6666667,325.1578947,8192,8192,0,0,0,0,0,0,0,0,6811884.887,3451149.19,3360735.697,20949.46793,9923.432177,11026.03575,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,4,17,0,1,2,2,0,0,2,8,0,0,0,2,0,0,2,9,0,1,5.04E-05,0.00014325,0.000635862,9.54E-07,0.000906944,9.65E-05,0.00022963,0.000742912,9.54E-07,0.000868082,0.00011122,0.00020101,0.000635862,9.54E-07,0.000889778,0,0,0,0,Benign
192.168.10.9_1035_192.168.10.3_389_TCP_2017-07-07 08:00:35.491827,00:35.5,192.168.10.9,1035,192.168.10.3,389,TCP,0.004227877,22,12,10,9818,4130,5688,2634,0,446.2727273,738.3763626,545199.6529,2634,0,446.2727273,738.3763626,368204.8056,2634,0,446.2727273,738.3763626,730069.76,488,32,20,22.18181818,4.6283353,264,32,20,22,4.47213595,224,32,20,22.4,4.8,344.1666667,568.8,446.2727273,8192,8192,0,0,0,0,0,0,0,0,2322205.869,976849.6882,1345356.181,5203.557661,2365.253482,2838.304179,0.833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,4,20,0,1,0,6,0,0,2,10,0,0,0,4,0,0,2,10,0,1,0.00020133,0.00048036,0.002216101,2.86E-06,0.004227877,0.00038164,0.0006843,0.002216101,2.86E-06,0.004198074,0.00046343,0.00069396,0.002300978,3.10E-06,0.004170895,0,0,0,0,Benign
192.168.10.3_389_192.168.10.9_1035_TCP_2017-07-07 08:00:35.496104,00:35.5,192.168.10.3,389,192.168.10.9,1035,TCP,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,0,0,0,0,0,0,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1499428835,0,1499428835,1499428835,1499428835,0,0,0,0,0,1499428835,0,1499428835,1499428835,1499428835,0,0,0,0,Benign
192.168.10.3_389_192.168.10.9_1035_TCP_2017-07-07 08:00:35.496105,00:35.5,192.168.10.3,389,192.168.10.9,1035,TCP,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,0,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1499428835,0,1499428835,1499428835,1499428835,1499428835,0,1499428835,1499428835,1499428835,0,0,0,0,0,0,0,0,0,Benign
192.168.10.3_389_192.168.10.9_1035_TCP_2017-07-07 08:00:35.496106,00:35.5,192.168.10.3,389,192.168.10.9,1035,TCP,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,0,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1499428835,0,1499428835,1499428835,1499428835,1499428835,0,1499428835,1499428835,1499428835,0,0,0,0,0,0,0,0,0,Benign
192.168.10.9_1030_192.168.10.3_445_TCP_2017-07-07 08:00:35.342358,00:35.3,192.168.10.9,1030,192.168.10.3,445,TCP,10.88210988,44,24,20,9854,7458,2396,3072,0,223.9545455,535.6529132,286924.0434,3072,0,223.9545455,535.6529132,500208.1875,3072,0,223.9545455,535.6529132,11094.76,928,32,20,21.09090909,3.44975745,504,32,20,21,3.31662479,424,32,20,21.2,3.6,310.75,119.8,223.9545455,8192,8192,0,0,0,0,0,0,0,0,905.5229278,685.3450371,220.1778907,4.043333552,1.837878887,2.205454665,0.833333333,288,4,57521883.43,288,4,92919965.54,1,288,4,5.01E-06,1,288,4,3.10E-06,0,28,0,0,4,42,0,1,0,14,0,0,2,22,0,1,0,14,0,0,2,20,0,0,0.25307232,1.59575954,10.59248495,9.54E-07,10.88210988,0.47313521,2.15792444,10.59248495,9.54E-07,10.88210988,0.57273158,2.41167611,10.80435991,9.54E-07,10.88190007,24,20,7458,7458,Benign
192.168.10.14_49415_192.168.10.3_88_TCP_2017-07-07 08:00:48.902659,00:48.9,192.168.10.14,49415,192.168.10.3,88,TCP,0.000555038,14,7,7,880,466,414,233,0,62.85714286,99.62849359,9925.836735,233,0,62.85714286,99.62849359,11079.38776,233,0,62.85714286,99.62849359,8744.693878,328,32,20,23.42857143,5.42104742,164,32,20,23.42857143,5.42104742,164,32,20,23.42857143,5.42104742,66.57142857,59.14285714,62.85714286,8192,8192,0,0,0,0,0,0,0,0,1585475.739,839581.4708,745894.268,25223.47766,12611.73883,12611.73883,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,4,12,0,1,1,2,0,0,2,5,0,0,0,2,0,0,2,7,0,1,4.27E-05,8.68E-05,0.000337124,0,0.000555038,8.54E-05,0.00012606,0.000363111,9.54E-07,0.000512123,7.98E-05,0.00014756,0.000406027,0,0.000478983,0,0,0,0,Benign
192.168.10.14_49416_192.168.10.3_88_TCP_2017-07-07 08:00:48.922289,00:48.9,192.168.10.14,49416,192.168.10.3,88,TCP,0.000586987,15,8,7,880,466,414,233,0,58.66666667,97.519001,9509.955556,233,0,58.66666667,97.519001,10179.1875,233,0,58.66666667,97.519001,8744.693878,348,32,20,23.2,5.30659966,184,32,20,23,5.19615242,164,32,20,23.42857143,5.42104742,58.25,59.14285714,58.66666667,8192,8192,0,0,0,0,0,0,0,0,1499182.583,793885.3225,705297.2608,25554.24858,11925.316,13628.93258,0.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,4,13,0,1,2,2,0,0,2,6,0,0,0,2,0,0,2,7,0,1,4.19E-05,9.31E-05,0.000362873,0,0.000586987,7.72E-05,0.00016125,0.000468969,9.54E-07,0.000540018,9.23E-05,0.00014005,0.00039506,1.91E-06,0.000553846,0,0,0,0,Benign
192.168.10.14_49417_192.168.10.3_88_TCP_2017-07-07 08:00:48.929714,00:48.9,192.168.10.14,49417,192.168.10.3,88,TCP,0.000801086,17,10,7,3690,626,3064,1532,0,217.0588235,490.4403148,240531.7024,1532,0,217.0588235,490.4403148,15675.04,1532,0,217.0588235,490.4403148,478984.4898,388,32,20,22.82352941,5.09019004,224,32,20,22.4,4.8,164,32,20,23.42857143,5.42104742,62.6,437.7142857,217.0588235,8192,8192,0,0,0,0,0,0,0,0,4606244.571,781438.781,3824805.79,21221.18095,8738.133333,12483.04762,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,4,15,0,1,2,2,0,0,2,8,0,0,0,2,0,0,2,7,0,1,5.01E-05,0.00014733,0.000617981,9.54E-07,0.000801086,8.56E-05,0.00020006,0.000648022,9.54E-07,0.000770092,0.00012851,0.00025683,0.000700951,9.54E-07,0.000771046,0,0,0,0,Benign
192.168.10.14_49418_192.168.10.3_88_TCP_2017-07-07 08:00:48.949139,00:48.9,192.168.10.14,49418,192.168.10.3,88,TCP,0.000901937,17,10,7,3690,626,3064,1532,0,217.0588235,490.4403148,240531.7024,1532,0,217.0588235,490.4403148,15675.04,1532,0,217.0588235,490.4403148,478984.4898,388,32,20,22.82352941,5.09019004,224,32,20,22.4,4.8,164,32,20,23.42857143,5.42104742,62.6,437.7142857,217.0588235,8192,8192,0,0,0,0,0,0,0,0,4091192.641,694061.4073,3397131.233,18848.31298,7761.07005,11087.24293,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,4,15,0,1,2,2,0,0,2,8,0,0,0,2,0,0,2,7,0,1,5.64E-05,0.00015509,0.000650883,9.54E-07,0.000901937,9.22E-05,0.00021955,0.000710011,9.54E-07,0.000829935,0.00014416,0.00024294,0.00067997,9.54E-07,0.000864983,0,0,0,0,Benign
192.168.10.14_49419_192.168.10.3_88_TCP_2017-07-07 08:00:48.977868,00:49.0,192.168.10.14,49419,192.168.10.3,88,TCP,0.001089811,19,10,9,6282,3176,3106,1588,0,330.631579,640.3156467,410004.1274,1588,0,330.631579,640.3156467,403479.04,1588,0,330.631579,640.3156467,416855.8765,428,32,20,22.52631579,4.89218949,224,32,20,22.4,4.8,204,32,20,22.66666667,4.98887652,317.6,345.1111111,330.6315789,8192,8192,0,0,0,0,0,0,0,0,5764300.531,2914265.916,2850034.615,17434.21046,8258.310217,9175.900241,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,4,17,0,1,2,2,0,0,2,8,0,0,0,2,0,0,2,9,0,1,6.06E-05,0.00015822,0.000706911,9.54E-07,0.001089811,0.00011444,0.00024035,0.000789881,9.54E-07,0.001029968,0.00013599,0.00021749,0.000706911,9.54E-07,0.001087904,0,0,0,0,Benign
192.168.10.3_88_192.168.10.14_49420_TCP_2017-07-07 08:00:48.977899,00:49.0,192.168.10.3,88,192.168.10.14,49420,TCP,0.001168013,19,9,10,6236,3086,3150,1575,0,328.2105263,635.6193481,404011.9557,1575,0,328.2105263,635.6193481,411504.7654,1575,0,328.2105263,635.6193481,396900,428,32,20,22.52631579,4.89218949,204,32,20,22.66666667,4.98887652,224,32,20,22.4,4.8,342.8888889,315,328.2105263,8192,8192,0,0,0,0,0,0,0,0,5338983.414,2642094.743,2696888.671,16266.94754,8561.551337,7705.396203,1.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,4,17,0,1,0,2,0,0,2,9,0,1,2,2,0,0,2,8,0,0,6.49E-05,0.00017503,0.000781059,0,0.001168013,0.000146,0.00024138,0.000781059,1.19E-06,0.001168013,0.00012165,0.00028736,0.000931978,9.54E-07,0.001094818,0,0,0,0,Benign
192.168.10.14_49421_192.168.10.3_88_TCP_2017-07-07 08:00:48.979203,00:49.0,192.168.10.14,49421,192.168.10.3,88,TCP,0.000497103,15,8,7,5582,2762,2820,1410,0,372.1333333,617.1587442,380884.9156,1410,0,372.1333333,617.1587442,357592.6875,1410,0,372.1333333,617.1587442,405734.6939,348,32,20,23.2,5.30659966,184,32,20,23,5.19615242,164,32,20,23.42857143,5.42104742,345.25,402.8571429,372.1333333,8192,8192,0,0,0,0,0,0,0,0,11229067.11,5556195.515,5672871.597,30174.84892,14081.59616,16093.25276,0.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,4,13,0,1,2,2,0,0,2,6,0,0,0,2,0,0,2,7,0,1,3.55E-05,7.03E-05,0.000279903,9.54E-07,0.000497103,6.91E-05,0.00012235,0.000363111,9.54E-07,0.00048399,7.97E-05,0.00013461,0.00037694,9.54E-07,0.000478029,0,0,0,0,Benign
192.168.10.14_49424_192.168.10.3_88_TCP_2017-07-07 08:00:49.931252,00:49.9,192.168.10.14,49424,192.168.10.3,88,TCP,0.00109005,19,10,9,6282,3176,3106,1588,0,330.631579,640.3156467,410004.1274,1588,0,330.631579,640.3156467,403479.04,1588,0,330.631579,640.3156467,416855.8765,428,32,20,22.52631579,4.89218949,224,32,20,22.4,4.8,204,32,20,22.66666667,4.98887652,317.6,345.1111111,330.6315789,8192,8192,0,0,0,0,0,0,0,0,5763039.748,2913628.5,2849411.248,17430.3972,8256.503937,9173.893263,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,4,17,0,1,2,2,0,0,2,8,0,0,0,2,0,0,2,9,0,1,6.06E-05,0.00015765,0.000699997,0,0.00109005,0.000111,0.00025588,0.000819921,0,0.000998974,0.00012538,0.00022029,0.000699997,9.54E-07,0.001003027,0,0,0,0,Benign
192.168.10.14_49423_192.168.10.3_389_TCP_2017-07-07 08:00:49.929984,00:49.9,192.168.10.14,49423,192.168.10.3,389,TCP,0.004146814,22,12,10,9818,4130,5688,2634,0,446.2727273,738.3763626,545199.6529,2634,0,446.2727273,738.3763626,368204.8056,2634,0,446.2727273,738.3763626,730069.76,488,32,20,22.18181818,4.6283353,264,32,20,22,4.47213595,224,32,20,22.4,4.8,344.1666667,568.8,446.2727273,8192,8192,0,0,0,0,0,0,0,0,2367600.568,995945.2377,1371655.33,5305.277295,2411.48968,2893.787616,0.833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,4,20,0,1,0,6,0,0,2,10,0,0,0,4,0,0,2,10,0,1,0.00019747,0.00048472,0.002132177,9.54E-07,0.004146814,0.00037135,0.00069502,0.002132177,9.54E-07,0.004084826,0.00045366,0.00069537,0.00219512,9.54E-07,0.004082918,0,0,0,0,Benign
192.168.10.3_389_192.168.10.14_49423_TCP_2017-07-07 08:00:49.934132,00:49.9,192.168.10.3,389,192.168.10.14,49423,TCP,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,0,0,0,0,0,0,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1499428850,0,1499428850,1499428850,1499428850,0,0,0,0,0,1499428850,0,1499428850,1499428850,1499428850,0,0,0,0,Benign
192.168.10.14_49423_192.168.10.3_389_TCP_2017-07-07 08:00:49.934133,00:49.9,192.168.10.14,49423,192.168.10.3,389,TCP,9.54E-07,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,20,20,0,20,20,20,20,0,20,20,20,20,0,0,0,0,255,255,0,0,0,0,0,0,0,0,0,0,0,2097152,1048576,1048576,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,9.50E-07,0,9.54E-07,9.54E-07,9.54E-07,1499428850,0,1499428850,1499428850,1499428850,1499428850,0,1499428850,1499428850,1499428850,0,0,0,0,Benign
192.168.10.3_389_192.168.10.14_49423_TCP_2017-07-07 08:00:49.934180,00:49.9,192.168.10.3,389,192.168.10.14,49423,TCP,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,0,0,0,0,0,0,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1499428850,0,1499428850,1499428850,1499428850,0,0,0,0,0,1499428850,0,1499428850,1499428850,1499428850,0,0,0,0,Benign
192.168.10.5_49160_192.168.10.3_88_TCP_2017-07-07 08:00:50.244305,00:50.2,192.168.10.5,49160,192.168.10.3,88,TCP,0.000601053,15,8,7,880,466,414,233,0,58.66666667,97.519001,9509.955556,233,0,58.66666667,97.519001,10179.1875,233,0,58.66666667,97.519001,8744.693878,348,32,20,23.2,5.30659966,184,32,20,23,5.19615242,164,32,20,23.42857143,5.42104742,58.25,59.14285714,58.66666667,8192,8192,0,0,0,0,0,0,0,0,1464096.597,775305.6977,688790.8988,24956.19199,11646.22293,13309.96906,0.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,4,13,0,1,2,2,0,0,2,6,0,0,0,2,0,0,2,7,0,1,4.29E-05,8.69E-05,0.000349045,9.54E-07,0.000601053,7.59E-05,0.00013254,0.000392914,9.54E-07,0.000531197,9.37E-05,0.00015769,0.000442028,9.54E-07,0.000561953,0,0,0,0,Benign
