flow_id,timestamp,src_ip,src_port,dst_ip,dst_port,protocol,duration,packets_count,fwd_packets_count,bwd_packets_count,total_payload_bytes,fwd_total_payload_bytes,bwd_total_payload_bytes,payload_bytes_max,payload_bytes_min,payload_bytes_mean,payload_bytes_std,payload_bytes_variance,fwd_payload_bytes_max,fwd_payload_bytes_min,fwd_payload_bytes_mean,fwd_payload_bytes_std,fwd_payload_bytes_variance,bwd_payload_bytes_max,bwd_payload_bytes_min,bwd_payload_bytes_mean,bwd_payload_bytes_std,bwd_payload_bytes_variance,total_header_bytes,max_header_bytes,min_header_bytes,mean_header_bytes,std_header_bytes,fwd_total_header_bytes,fwd_max_header_bytes,fwd_min_header_bytes,fwd_mean_header_bytes,fwd_std_header_bytes,bwd_total_header_bytes,bwd_max_header_bytes,bwd_min_header_bytes,bwd_mean_header_bytes,bwd_std_header_bytes,fwd_avg_segment_size,bwd_avg_segment_size,avg_segment_size,fwd_init_win_bytes,bwd_init_win_bytes,active_min,active_max,active_mean,active_std,idle_min,idle_max,idle_mean,idle_std,bytes_rate,fwd_bytes_rate,bwd_bytes_rate,packets_rate,bwd_packets_rate,fwd_packets_rate,down_up_rate,avg_fwd_bytes_per_bulk,avg_fwd_packets_per_bulk,avg_fwd_bulk_rate,avg_bwd_bytes_per_bulk,avg_bwd_packets_bulk_rate,avg_bwd_bulk_rate,fwd_bulk_state_count,fwd_bulk_total_size,fwd_bulk_per_packet,fwd_bulk_duration,bwd_bulk_state_count,bwd_bulk_total_size,bwd_bulk_per_packet,bwd_bulk_duration,fin_flag_counts,psh_flag_counts,urg_flag_counts,ece_flag_counts,syn_flag_counts,ack_flag_counts,cwr_flag_counts,rst_flag_counts,fwd_fin_flag_counts,fwd_psh_flag_counts,fwd_urg_flag_counts,fwd_ece_flag_counts,fwd_syn_flag_counts,fwd_ack_flag_counts,fwd_cwr_flag_counts,fwd_rst_flag_counts,bwd_fin_flag_counts,bwd_psh_flag_counts,bwd_urg_flag_counts,bwd_ece_flag_counts,bwd_syn_flag_counts,bwd_ack_flag_counts,bwd_cwr_flag_counts,bwd_rst_flag_counts,packets_IAT_mean,packet_IAT_std,packet_IAT_max,packet_IAT_min,packet_IAT_total,fwd_packets_IAT_mean,fwd_packets_IAT_std,fwd_packets_IAT_max,fwd_packets_IAT_min,fwd_packets_IAT_total,bwd_packets_IAT_mean,bwd_packets_IAT_std,bwd_packets_IAT_max,bwd_packets_IAT_min,bwd_packets_IAT_total,subflow_fwd_packets,subflow_bwd_packets,subflow_fwd_bytes,subflow_bwd_bytes,label
192.168.10.9_1031_192.168.10.3_88_TCP_2017-07-03 07:56:38.033562,56:38.0,192.168.10.9,1031,192.168.10.3,88,TCP,0.000708103,15,8,7,880,466,414,233,0,58.66666667,97.519001,9509.955556,233,0,58.66666667,97.519001,10179.1875,233,0,58.66666667,97.519001,8744.693878,348,32,20,23.2,5.30659966,184,32,20,23,5.19615242,164,32,20,23.42857143,5.42104742,58.25,59.14285714,58.66666667,8192,8192,0,0,0,0,0,0,0,0,1242756.741,658096.1832,584660.5576,21183.35354,9885.564983,11297.78855,0.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,4,13,0,1,2,2,0,0,2,6,0,0,0,2,0,0,2,7,0,1,5.06E-05,9.46E-05,0.000380993,9.54E-07,0.000708103,9.39E-05,0.0001509,0.000460148,1.91E-06,0.000657082,0.00010685,0.00016379,0.000459909,9.54E-07,0.000641108,0,0,0,0,Benign
192.168.10.9_1032_192.168.10.3_88_TCP_2017-07-03 07:56:38.050591,56:38.1,192.168.10.9,1032,192.168.10.3,88,TCP,0.000970125,17,10,7,3690,626,3064,1532,0,217.0588235,490.4403148,240531.7024,1532,0,217.0588235,490.4403148,15675.04,1532,0,217.0588235,490.4403148,478984.4898,388,32,20,22.82352941,5.09019004,224,32,20,22.4,4.8,164,32,20,23.42857143,5.42104742,62.6,437.7142857,217.0588235,8192,8192,0,0,0,0,0,0,0,0,3803632.775,645277.5385,3158355.236,17523.51143,7215.563529,10307.9479,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,4,15,0,1,2,2,0,0,2,8,0,0,0,2,0,0,2,7,0,1,6.06E-05,0.0001753,0.000734091,9.54E-07,0.000970125,9.78E-05,0.00025105,0.000806093,9.54E-07,0.000880003,0.00015453,0.00027132,0.000756025,1.19E-06,0.00092721,0,0,0,0,Benign
192.168.10.9_1033_192.168.10.3_88_TCP_2017-07-03 07:56:38.107245,56:38.1,192.168.10.9,1033,192.168.10.3,88,TCP,0.001240969,19,10,9,6140,3104,3036,1552,0,323.1578947,625.8411824,391677.1856,1552,0,323.1578947,625.8411824,385392.64,1552,0,323.1578947,625.8411824,398278.2222,428,32,20,22.52631579,4.89218949,224,32,20,22.4,4.8,204,32,20,22.66666667,4.98887652,310.4,337.3333333,323.1578947,8192,8192,0,0,0,0,0,0,0,0,4947747.658,2501271.78,2446475.878,15310.61979,7252.398847,8058.220941,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,4,17,0,1,2,2,0,0,2,8,0,0,0,2,0,0,2,9,0,1,6.89E-05,0.00018773,0.000835896,9.54E-07,0.001240969,0.00012901,0.00029178,0.00094986,9.54E-07,0.001161098,0.00015035,0.00026151,0.000835896,1.91E-06,0.001202822,0,0,0,0,Benign
192.168.10.9_1034_192.168.10.3_88_TCP_2017-07-03 07:56:38.108547,56:38.1,192.168.10.9,1034,192.168.10.3,88,TCP,0.000754118,15,8,7,5614,2794,2820,1410,0,374.2666667,620.6601289,385218.9956,1410,0,374.2666667,620.6601289,365926.6875,1410,0,374.2666667,620.6601289,405734.6939,348,32,20,23.2,5.30659966,184,32,20,23,5.19615242,164,32,20,23.42857143,5.42104742,349.25,402.8571429,374.2666667,8192,8192,0,0,0,0,0,0,0,0,7444458.633,3704990.634,3739467.999,19890.78723,9282.367373,10608.41985,0.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,4,13,0,1,2,2,0,0,2,6,0,0,0,2,0,0,2,7,0,1,5.39E-05,7.75E-05,0.000283957,9.54E-07,0.000754118,8.19E-05,0.00012219,0.00037694,9.54E-07,0.00057292,0.00011901,0.00011475,0.000342131,1.19E-06,0.000714064,0,0,0,0,Benign
192.168.10.9_1036_192.168.10.3_88_TCP_2017-07-03 07:56:38.245067,56:38.2,192.168.10.9,1036,192.168.10.3,88,TCP,0.001161098,19,10,9,6178,3130,3048,1565,0,325.1578947,629.7358062,396567.1856,1565,0,325.1578947,629.7358062,391876,1565,0,325.1578947,629.7358062,401432.8889,428,32,20,22.52631579,4.89218949,224,32,20,22.4,4.8,204,32,20,22.66666667,4.98887652,313,338.6666667,325.1578947,8192,8192,0,0,0,0,0,0,0,0,5320823.432,2695723.105,2625100.327,16363.81437,7751.280493,8612.533881,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,4,17,0,1,2,2,0,0,2,8,0,0,0,2,0,0,2,9,0,1,6.45E-05,0.00016447,0.00070405,9.54E-07,0.001161098,0.00012445,0.000236,0.000758886,9.54E-07,0.00112009,0.00013861,0.00023857,0.00070405,9.54E-07,0.001108885,0,0,0,0,Benign
192.168.10.9_1035_192.168.10.3_389_TCP_2017-07-03 07:56:38.229635,56:38.2,192.168.10.9,1035,192.168.10.3,389,TCP,0.018337011,22,12,10,9818,4130,5688,2634,0,446.2727273,738.3763626,545199.6529,2634,0,446.2727273,738.3763626,368204.8056,2634,0,446.2727273,738.3763626,730069.76,488,32,20,22.18181818,4.6283353,264,32,20,22,4.47213595,224,32,20,22.4,4.8,344.1666667,568.8,446.2727273,8192,8192,0,0,0,0,0,0,0,0,535419.8577,225227.5425,310192.3152,1199.759306,545.3451392,654.414167,0.833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,4,20,0,1,0,6,0,0,2,10,0,0,0,4,0,0,2,10,0,1,0.00087319,0.00342775,0.016176939,2.86E-06,0.018337011,0.00166009,0.00460744,0.016176939,3.10E-06,0.018260956,0.00203045,0.00506767,0.016337156,2.86E-06,0.018274069,0,0,0,0,Benign
192.168.10.3_389_192.168.10.9_1035_TCP_2017-07-03 07:56:38.247975,56:38.2,192.168.10.3,389,192.168.10.9,1035,TCP,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,0,0,0,0,0,0,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1499082998,0,1499082998,1499082998,1499082998,0,0,0,0,0,1499082998,0,1499082998,1499082998,1499082998,0,0,0,0,Benign
192.168.10.3_389_192.168.10.9_1035_TCP_2017-07-03 07:56:38.247989,56:38.2,192.168.10.3,389,192.168.10.9,1035,TCP,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,0,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1499082998,0,1499082998,1499082998,1499082998,1499082998,0,1499082998,1499082998,1499082998,0,0,0,0,0,0,0,0,0,Benign
192.168.10.3_389_192.168.10.9_1035_TCP_2017-07-03 07:56:38.247990,56:38.2,192.168.10.3,389,192.168.10.9,1035,TCP,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,0,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1499082998,0,1499082998,1499082998,1499082998,1499082998,0,1499082998,1499082998,1499082998,0,0,0,0,0,0,0,0,0,Benign
192.168.10.9_1038_192.168.10.3_88_TCP_2017-07-03 07:56:46.742368,56:46.7,192.168.10.9,1038,192.168.10.3,88,TCP,0.000901937,15,8,7,796,440,356,220,0,53.06666667,88.66676692,7861.795556,220,0,53.06666667,88.66676692,9075,220,0,53.06666667,88.66676692,6466.122449,348,32,20,23.2,5.30659966,184,32,20,23,5.19615242,164,32,20,23.42857143,5.42104742,55,50.85714286,53.06666667,8192,8192,0,0,0,0,0,0,0,0,882544.5371,487838.6889,394705.8483,16630.86439,7761.07005,8869.794343,0.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,4,13,0,1,2,2,0,0,2,6,0,0,0,2,0,0,2,7,0,1,6.44E-05,0.00014561,0.000579119,9.54E-07,0.000901937,0.00011785,0.00023266,0.000683069,9.54E-07,0.000824928,0.00014015,0.00023432,0.000653982,9.54E-07,0.000840902,0,0,0,0,Benign
