flow_id,timestamp,src_ip,src_port,dst_ip,dst_port,protocol,duration,packets_count,fwd_packets_count,bwd_packets_count,total_payload_bytes,fwd_total_payload_bytes,bwd_total_payload_bytes,payload_bytes_max,payload_bytes_min,payload_bytes_mean,payload_bytes_std,payload_bytes_variance,fwd_payload_bytes_max,fwd_payload_bytes_min,fwd_payload_bytes_mean,fwd_payload_bytes_std,fwd_payload_bytes_variance,bwd_payload_bytes_max,bwd_payload_bytes_min,bwd_payload_bytes_mean,bwd_payload_bytes_std,bwd_payload_bytes_variance,total_header_bytes,max_header_bytes,min_header_bytes,mean_header_bytes,std_header_bytes,fwd_total_header_bytes,fwd_max_header_bytes,fwd_min_header_bytes,fwd_mean_header_bytes,fwd_std_header_bytes,bwd_total_header_bytes,bwd_max_header_bytes,bwd_min_header_bytes,bwd_mean_header_bytes,bwd_std_header_bytes,fwd_avg_segment_size,bwd_avg_segment_size,avg_segment_size,fwd_init_win_bytes,bwd_init_win_bytes,active_min,active_max,active_mean,active_std,idle_min,idle_max,idle_mean,idle_std,bytes_rate,fwd_bytes_rate,bwd_bytes_rate,packets_rate,bwd_packets_rate,fwd_packets_rate,down_up_rate,avg_fwd_bytes_per_bulk,avg_fwd_packets_per_bulk,avg_fwd_bulk_rate,avg_bwd_bytes_per_bulk,avg_bwd_packets_bulk_rate,avg_bwd_bulk_rate,fwd_bulk_state_count,fwd_bulk_total_size,fwd_bulk_per_packet,fwd_bulk_duration,bwd_bulk_state_count,bwd_bulk_total_size,bwd_bulk_per_packet,bwd_bulk_duration,fin_flag_counts,psh_flag_counts,urg_flag_counts,ece_flag_counts,syn_flag_counts,ack_flag_counts,cwr_flag_counts,rst_flag_counts,fwd_fin_flag_counts,fwd_psh_flag_counts,fwd_urg_flag_counts,fwd_ece_flag_counts,fwd_syn_flag_counts,fwd_ack_flag_counts,fwd_cwr_flag_counts,fwd_rst_flag_counts,bwd_fin_flag_counts,bwd_psh_flag_counts,bwd_urg_flag_counts,bwd_ece_flag_counts,bwd_syn_flag_counts,bwd_ack_flag_counts,bwd_cwr_flag_counts,bwd_rst_flag_counts,packets_IAT_mean,packet_IAT_std,packet_IAT_max,packet_IAT_min,packet_IAT_total,fwd_packets_IAT_mean,fwd_packets_IAT_std,fwd_packets_IAT_max,fwd_packets_IAT_min,fwd_packets_IAT_total,bwd_packets_IAT_mean,bwd_packets_IAT_std,bwd_packets_IAT_max,bwd_packets_IAT_min,bwd_packets_IAT_total,subflow_fwd_packets,subflow_bwd_packets,subflow_fwd_bytes,subflow_bwd_bytes,label
172.16.0.1_60744_192.168.10.50_21_TCP_2017-07-07 13:14:05.497800,14:05.5,172.16.0.1,60744,192.168.10.50,21,TCP,0.003920794,7,4,3,20,0,20,20,0,2.85714286,6.99854212,48.97959184,20,0,2.85714286,6.99854212,0,20,0,2.85714286,6.99854212,88.88888889,240,40,32,34.28571429,3.61403161,136,40,32,34,3.46410162,104,40,32,34.66666667,3.77123617,0,6.666666667,2.857142857,29200,28960,0,0,0,0,0,0,0,0,5101.008209,0,5101.008209,1785.352873,765.1512314,1020.201642,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,6,0,0,1,0,0,0,1,3,0,0,1,1,0,0,1,3,0,0,0.00065347,0.0007127,0.002181053,6.58E-05,0.003920794,0.001285,0.00106143,0.002773046,0.000370026,0.00385499,0.00189841,0.00087059,0.002768993,0.001027822,0.003796816,0,0,0,0,Port_Scan
172.16.0.1_45018_192.168.10.50_22_TCP_2017-07-07 13:14:05.497803,14:05.5,172.16.0.1,45018,192.168.10.50,22,TCP,0.011778116,7,4,3,41,0,41,41,0,5.85714286,14.34701135,205.8367347,41,0,5.85714286,14.34701135,0,41,0,5.85714286,14.34701135,373.5555556,240,40,32,34.28571429,3.61403161,136,40,32,34,3.46410162,104,40,32,34.66666667,3.77123617,0,13.66666667,5.857142857,29200,28960,0,0,0,0,0,0,0,0,3481.032044,0,3481.032044,594.3225441,254.7096617,339.6128823,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,6,0,0,1,0,0,0,1,3,0,0,1,1,0,0,1,3,0,0,0.00196302,0.00314749,0.008979082,0.000118017,0.011778116,0.00372569,0.00407957,0.009493113,0.000711918,0.011177063,0.00583005,0.00374293,0.009572983,0.002087116,0.011660099,0,0,0,0,Port_Scan
172.16.0.1_60754_192.168.10.50_21_TCP_2017-07-07 13:14:17.054064,14:17.1,172.16.0.1,60754,192.168.10.50,21,TCP,0.004273891,7,4,3,20,0,20,20,0,2.85714286,6.99854212,48.97959184,20,0,2.85714286,6.99854212,0,20,0,2.85714286,6.99854212,88.88888889,240,40,32,34.28571429,3.61403161,136,40,32,34,3.46410162,104,40,32,34.66666667,3.77123617,0,6.666666667,2.857142857,29200,28960,0,0,0,0,0,0,0,0,4679.576035,0,4679.576035,1637.851612,701.9364052,935.915207,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,6,0,0,1,0,0,0,1,3,0,0,1,1,0,0,1,3,0,0,0.00071232,0.00081784,0.00246501,7.80E-05,0.004273891,0.00139864,0.00129491,0.003216028,0.000294924,0.004195929,0.0020715,0.00094759,0.003019094,0.001123905,0.004143,0,0,0,0,Port_Scan
172.16.0.1_45028_192.168.10.50_22_TCP_2017-07-07 13:14:17.054116,14:17.1,172.16.0.1,45028,192.168.10.50,22,TCP,0.011112928,7,4,3,41,0,41,41,0,5.85714286,14.34701135,205.8367347,41,0,5.85714286,14.34701135,0,41,0,5.85714286,14.34701135,373.5555556,240,40,32,34.28571429,3.61403161,136,40,32,34,3.46410162,104,40,32,34.66666667,3.77123617,0,13.66666667,5.857142857,29200,28960,0,0,0,0,0,0,0,0,3689.39658,0,3689.39658,629.8969771,269.9558473,359.9411298,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,6,0,0,1,0,0,0,1,3,0,0,1,1,0,0,1,3,0,0,0.00185215,0.00267744,0.007807016,0.000137091,0.011112928,0.00350602,0.00358083,0.008569002,0.000884056,0.010518074,0.00548792,0.00306606,0.008553982,0.002421856,0.010975838,0,0,0,0,Port_Scan
172.16.0.1_60764_192.168.10.50_21_TCP_2017-07-07 13:14:28.373033,14:28.4,172.16.0.1,60764,192.168.10.50,21,TCP,0.004355907,7,4,3,20,0,20,20,0,2.85714286,6.99854212,48.97959184,20,0,2.85714286,6.99854212,0,20,0,2.85714286,6.99854212,88.88888889,240,40,32,34.28571429,3.61403161,136,40,32,34,3.46410162,104,40,32,34.66666667,3.77123617,0,6.666666667,2.857142857,29200,28960,0,0,0,0,0,0,0,0,4591.465791,0,4591.465791,1607.013027,688.7198686,918.2931582,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,6,0,0,1,0,0,0,1,3,0,0,1,1,0,0,1,3,0,0,0.00072598,0.00088211,0.002635002,4.89E-05,0.004355907,0.00142964,0.00125613,0.003200054,0.000417948,0.004288912,0.00215352,0.00110352,0.003257036,0.001049995,0.004307032,0,0,0,0,Port_Scan
172.16.0.1_45038_192.168.10.50_22_TCP_2017-07-07 13:14:28.373039,14:28.4,172.16.0.1,45038,192.168.10.50,22,TCP,0.010422945,7,4,3,41,0,41,41,0,5.85714286,14.34701135,205.8367347,41,0,5.85714286,14.34701135,0,41,0,5.85714286,14.34701135,373.5555556,240,40,32,34.28571429,3.61403161,136,40,32,34,3.46410162,104,40,32,34.66666667,3.77123617,0,13.66666667,5.857142857,29200,28960,0,0,0,0,0,0,0,0,3933.629115,0,3933.629115,671.5952147,287.8265206,383.7686941,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,6,0,0,1,0,0,0,1,3,0,0,1,1,0,0,1,3,0,0,0.00173716,0.00271266,0.007781982,7.61E-05,0.010422945,0.00327102,0.00356858,0.008316994,0.000672102,0.00981307,0.00517344,0.00320458,0.008378029,0.001968861,0.010346889,0,0,0,0,Port_Scan
172.16.0.1_60774_192.168.10.50_21_TCP_2017-07-07 13:14:40.029317,14:40.0,172.16.0.1,60774,192.168.10.50,21,TCP,0.004201174,7,4,3,20,0,20,20,0,2.85714286,6.99854212,48.97959184,20,0,2.85714286,6.99854212,0,20,0,2.85714286,6.99854212,88.88888889,240,40,32,34.28571429,3.61403161,136,40,32,34,3.46410162,104,40,32,34.66666667,3.77123617,0,6.666666667,2.857142857,29200,28960,0,0,0,0,0,0,0,0,4760.574315,0,4760.574315,1666.20101,714.0861472,952.1148629,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,6,0,0,1,0,0,0,1,3,0,0,1,1,0,0,1,3,0,0,0.0007002,0.00082819,0.002459049,7.20E-05,0.004201174,0.00136367,0.00133774,0.003235102,0.000187874,0.004091024,0.00206459,0.00099051,0.003055096,0.001074076,0.004129171,0,0,0,0,Port_Scan
172.16.0.1_45048_192.168.10.50_22_TCP_2017-07-07 13:14:40.029323,14:40.0,172.16.0.1,45048,192.168.10.50,22,TCP,0.010699987,7,4,3,41,0,41,41,0,5.85714286,14.34701135,205.8367347,41,0,5.85714286,14.34701135,0,41,0,5.85714286,14.34701135,373.5555556,240,40,32,34.28571429,3.61403161,136,40,32,34,3.46410162,104,40,32,34.66666667,3.77123617,0,13.66666667,5.857142857,29200,28960,0,0,0,0,0,0,0,0,3831.780209,0,3831.780209,654.2063771,280.3741616,373.8322155,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,6,0,0,1,0,0,0,1,3,0,0,1,1,0,0,1,3,0,0,0.00178333,0.0028116,0.008047104,5.39E-05,0.010699987,0.00337029,0.003684,0.008579016,0.00066781,0.010110855,0.00532305,0.00333798,0.008661032,0.001985073,0.010646105,0,0,0,0,Port_Scan
172.16.0.1_60784_192.168.10.50_21_TCP_2017-07-07 13:14:51.602023,14:51.6,172.16.0.1,60784,192.168.10.50,21,TCP,0.004067183,7,4,3,20,0,20,20,0,2.85714286,6.99854212,48.97959184,20,0,2.85714286,6.99854212,0,20,0,2.85714286,6.99854212,88.88888889,240,40,32,34.28571429,3.61403161,136,40,32,34,3.46410162,104,40,32,34.66666667,3.77123617,0,6.666666667,2.857142857,29200,28960,0,0,0,0,0,0,0,0,4917.408992,0,4917.408992,1721.093147,737.6113488,983.4817985,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,6,0,0,1,0,0,0,1,3,0,0,1,1,0,0,1,3,0,0,0.00067786,0.00065014,0.00208497,0.000126123,0.004067183,0.00127204,0.00097866,0.00264883,0.000461102,0.003816128,0.00197053,0.00069451,0.002665043,0.001276016,0.003941059,0,0,0,0,Port_Scan
172.16.0.1_45058_192.168.10.50_22_TCP_2017-07-07 13:14:51.602018,14:51.6,172.16.0.1,45058,192.168.10.50,22,TCP,0.013231993,8,4,4,41,0,41,41,0,5.125,13.55947547,183.859375,41,0,5.125,13.55947547,0,41,0,5.125,13.55947547,315.1875,272,40,32,34,3.46410162,136,40,32,34,3.46410162,136,40,32,34,3.46410162,0,10.25,5.125,29200,28960,0,0,0,0,0,0,0,0,3098.550677,0,3098.550677,604.595254,302.297627,302.297627,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,7,0,0,1,0,0,0,1,3,0,0,1,1,0,0,1,4,0,0,0.00189028,0.00340861,0.010219097,0.000160933,0.013231993,0.0041856,0.00477804,0.010941982,0.000717878,0.012556791,0.00435702,0.00457544,0.010776043,0.000441074,0.01307106,0,0,0,0,Port_Scan
