flow_id,timestamp,src_ip,src_port,dst_ip,dst_port,protocol,duration,packets_count,fwd_packets_count,bwd_packets_count,total_payload_bytes,fwd_total_payload_bytes,bwd_total_payload_bytes,payload_bytes_max,payload_bytes_min,payload_bytes_mean,payload_bytes_std,payload_bytes_variance,fwd_payload_bytes_max,fwd_payload_bytes_min,fwd_payload_bytes_mean,fwd_payload_bytes_std,fwd_payload_bytes_variance,bwd_payload_bytes_max,bwd_payload_bytes_min,bwd_payload_bytes_mean,bwd_payload_bytes_std,bwd_payload_bytes_variance,total_header_bytes,max_header_bytes,min_header_bytes,mean_header_bytes,std_header_bytes,fwd_total_header_bytes,fwd_max_header_bytes,fwd_min_header_bytes,fwd_mean_header_bytes,fwd_std_header_bytes,bwd_total_header_bytes,bwd_max_header_bytes,bwd_min_header_bytes,bwd_mean_header_bytes,bwd_std_header_bytes,fwd_avg_segment_size,bwd_avg_segment_size,avg_segment_size,fwd_init_win_bytes,bwd_init_win_bytes,active_min,active_max,active_mean,active_std,idle_min,idle_max,idle_mean,idle_std,bytes_rate,fwd_bytes_rate,bwd_bytes_rate,packets_rate,bwd_packets_rate,fwd_packets_rate,down_up_rate,avg_fwd_bytes_per_bulk,avg_fwd_packets_per_bulk,avg_fwd_bulk_rate,avg_bwd_bytes_per_bulk,avg_bwd_packets_bulk_rate,avg_bwd_bulk_rate,fwd_bulk_state_count,fwd_bulk_total_size,fwd_bulk_per_packet,fwd_bulk_duration,bwd_bulk_state_count,bwd_bulk_total_size,bwd_bulk_per_packet,bwd_bulk_duration,fin_flag_counts,psh_flag_counts,urg_flag_counts,ece_flag_counts,syn_flag_counts,ack_flag_counts,cwr_flag_counts,rst_flag_counts,fwd_fin_flag_counts,fwd_psh_flag_counts,fwd_urg_flag_counts,fwd_ece_flag_counts,fwd_syn_flag_counts,fwd_ack_flag_counts,fwd_cwr_flag_counts,fwd_rst_flag_counts,bwd_fin_flag_counts,bwd_psh_flag_counts,bwd_urg_flag_counts,bwd_ece_flag_counts,bwd_syn_flag_counts,bwd_ack_flag_counts,bwd_cwr_flag_counts,bwd_rst_flag_counts,packets_IAT_mean,packet_IAT_std,packet_IAT_max,packet_IAT_min,packet_IAT_total,fwd_packets_IAT_mean,fwd_packets_IAT_std,fwd_packets_IAT_max,fwd_packets_IAT_min,fwd_packets_IAT_total,bwd_packets_IAT_mean,bwd_packets_IAT_std,bwd_packets_IAT_max,bwd_packets_IAT_min,bwd_packets_IAT_total,subflow_fwd_packets,subflow_bwd_packets,subflow_fwd_bytes,subflow_bwd_bytes,label
172.16.0.1_44380_192.168.10.50_80_TCP_2017-07-06 08:15:54.880049,15:54.9,172.16.0.1,44380,192.168.10.50,80,TCP,5.185842991,15,8,7,3343,1022,2321,1047,0,222.8666667,320.0893348,102457.1822,1047,0,222.8666667,320.0893348,27745.1875,1047,0,222.8666667,320.0893348,165685.9592,496,40,32,33.06666667,2.71947707,264,40,32,33,2.64575131,232,40,32,33.14285714,2.79941685,127.75,331.5714286,222.8666667,29200,28960,0,0,0,0,0,0,0,0,644.639648,197.0749986,447.5646494,2.892490194,1.349828757,1.542661437,0.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,2,14,0,0,1,3,0,0,1,7,0,0,1,3,0,0,1,7,0,0,0.37041736,1.27452353,4.963955879,4.05E-06,5.185842991,0.74083471,1.72503065,4.96468091,4.05E-06,5.185842991,0.86416733,1.85093102,5.001548052,0.000879049,5.185003996,8,7,1022,1022,Web_Brute_Force
172.16.0.1_44382_192.168.10.50_80_TCP_2017-07-06 08:15:55.042962,15:55.0,172.16.0.1,44382,192.168.10.50,80,TCP,5.057574034,18,10,8,10616,736,9880,4344,0,589.7777778,1156.913401,1338448.617,4344,0,589.7777778,1156.913401,21813.64,4344,0,589.7777778,1156.913401,2234881.25,592,40,32,32.88888889,2.51415744,328,40,32,32.8,2.4,264,40,32,33,2.64575131,73.6,1235,589.7777778,29200,28960,0,0,0,0,0,0,0,0,2099.030074,145.5243156,1953.505759,3.559018589,1.581786039,1.977232549,0.8,0,0,0,9375,4,35234408.6,0,0,0,0,1,9375,4,0.000266075,2,4,0,0,2,17,0,0,1,2,0,0,1,9,0,0,1,2,0,0,1,8,0,0,0.29750435,1.16644792,4.963124037,3.60E-05,5.057574034,0.56193044,1.55613386,4.963124037,0.000191927,5.057374001,0.72249174,1.74682151,5.001257181,3.60E-05,5.057442188,10,8,736,736,Web_Brute_Force
172.16.0.1_44384_192.168.10.50_80_TCP_2017-07-06 08:16:01.135747,16:01.1,172.16.0.1,44384,192.168.10.50,80,TCP,5.271271944,13,7,6,2399,969,1430,1066,0,184.5384615,317.1179386,100563.787,1066,0,184.5384615,317.1179386,49578.2449,1066,0,184.5384615,317.1179386,154672.5556,432,40,32,33.23076923,2.8864097,232,40,32,33.14285714,2.79941685,200,40,32,33.33333333,2.98142397,138.4285714,238.3333333,184.5384615,29200,28960,0,0,0,0,0,0,0,0,455.1083734,183.8266002,271.2817732,2.466197938,1.138245202,1.327952736,0.857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,2,12,0,0,1,2,0,0,1,6,0,0,1,2,0,0,1,6,0,0,0.43927266,1.36555254,4.96191597,4.60E-05,5.271271944,0.87852049,1.82857427,4.96191597,0.000322819,5.271122932,1.05422597,1.97597978,5.000922918,0.001034021,5.271129847,7,6,969,969,Web_Brute_Force
172.16.0.1_44386_192.168.10.50_80_TCP_2017-07-06 08:16:07.422934,16:07.4,172.16.0.1,44386,192.168.10.50,80,TCP,5.020823956,12,7,5,2403,973,1430,1066,0,200.25,325.7478895,106111.6875,1066,0,200.25,325.7478895,50063.14286,1066,0,200.25,325.7478895,171974.4,400,40,32,33.33333333,2.98142397,232,40,32,33.14285714,2.79941685,168,40,32,33.6,3.2,139,286,200.25,29200,28960,0,0,0,0,0,0,0,0,478.6067031,193.7928931,284.81381,2.390045958,0.995852482,1.394193475,0.714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,2,11,0,0,1,2,0,0,1,6,0,0,1,2,0,0,1,5,0,0,0.45643854,1.4250335,4.962654114,1.81E-05,5.020823956,0.836773,1.84521357,4.962654114,1.81E-05,5.020637989,1.2551775,2.16323326,5.002002001,0.000933886,5.020709991,7,5,973,973,Web_Brute_Force
172.16.0.1_44388_192.168.10.50_80_TCP_2017-07-06 08:18:29.723819,18:29.7,172.16.0.1,44388,192.168.10.50,80,TCP,1.640791893,23,12,11,14861,2145,12716,5330,0,646.1304348,1227.429704,1506583.679,5330,0,646.1304348,1227.429704,46773.6875,5330,0,646.1304348,1227.429704,2600833.636,752,40,32,32.69565217,2.25417068,392,40,32,32.66666667,2.21108319,360,40,32,32.72727273,2.2998383,178.75,1156,646.1304348,29200,28960,0,0,0,0,0,0,0,0,9057.211986,1307.295586,7749.9164,14.01762167,6.70407993,7.313541742,0.916666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,2,22,0,0,1,5,0,0,1,11,0,0,1,5,0,0,1,11,0,0,0.07458145,0.30334825,1.463559151,9.54E-07,1.640791893,0.14809537,0.41669046,1.463559151,0.000195026,1.629049063,0.16406589,0.43997024,1.483004093,9.54E-07,1.640658855,12,11,2145,2145,Web_Brute_Force
172.16.0.1_44390_192.168.10.50_80_TCP_2017-07-06 08:18:29.772799,18:29.8,172.16.0.1,44390,192.168.10.50,80,TCP,5.08880496,9,5,4,1121,358,763,763,0,124.5555556,251.817002,63411.80247,763,0,124.5555556,251.817002,20506.24,763,0,124.5555556,251.817002,109156.6875,304,40,32,33.77777778,3.32591768,168,40,32,33.6,3.2,136,40,32,34,3.46410162,71.6,190.75,124.5555556,29200,28960,0,0,0,0,0,0,0,0,220.2874759,70.35050524,149.9369707,1.76858812,0.786039165,0.982548956,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,8,0,0,1,1,0,0,1,4,0,0,1,1,0,0,1,4,0,0,0.63610062,1.65057334,5.002505064,4.05E-06,5.08880496,1.27220124,2.15421799,5.002938986,4.05E-06,5.08880496,1.69609833,2.33873221,5.003216982,0.0009799,5.088294983,5,4,358,358,Web_Brute_Force
172.16.0.1_44392_192.168.10.50_80_TCP_2017-07-06 08:18:29.773073,18:29.8,172.16.0.1,44392,192.168.10.50,80,TCP,21.40533113,48,28,20,25818,5927,19891,2896,0,537.875,737.8785081,544464.6927,2896,0,537.875,737.8785081,46420.78954,2896,0,537.875,737.8785081,884208.3475,1552,40,32,32.33333333,1.59861051,904,40,32,32.28571429,1.48461498,648,40,32,32.4,1.74355958,211.6785714,994.55,537.875,29200,28960,0,0,0,0,0,0,0,0,1206.148124,276.8936375,929.2544869,2.242432023,0.934346676,1.308085347,0.714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,28,0,0,2,47,0,0,1,14,0,0,1,27,0,0,1,14,0,0,1,20,0,0,0.45543258,1.16475877,4.96294713,4.01E-05,21.40533113,0.79278534,1.4471373,4.96294713,0.000705004,21.40520406,1.12659427,1.63021309,5.001839161,6.10E-05,21.40529108,4,2.857142857,846.7142857,846.7142857,Web_Brute_Force
172.16.0.1_44486_192.168.10.50_80_TCP_2017-07-06 08:19:28.266264,19:28.3,172.16.0.1,44486,192.168.10.50,80,TCP,3.53361392,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,40,32,35.2,3.91918359,104,40,32,34.66666667,3.77123617,72,40,32,36,4,0,0,0,29200,28960,0,0,0,0,0,0,0,0,0,0,0,1.414981974,0.56599279,0.848989184,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,4,0,0,1,0,0,0,1,2,0,0,1,0,0,0,1,2,0,0,0.88340348,1.52943803,3.532467842,0.000208139,3.53361392,1.76665497,1.76581287,3.532467842,0.000842094,3.533309937,3.53340578,0,3.533405781,3.533405781,3.533405781,3,2,0,0,Web_Brute_Force
172.16.0.1_44484_192.168.10.50_80_TCP_2017-07-06 08:19:28.266143,19:28.3,172.16.0.1,44484,192.168.10.50,80,TCP,3.533747911,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,40,32,35.2,3.91918359,104,40,32,34.66666667,3.77123617,72,40,32,36,4,0,0,0,29200,28960,0,0,0,0,0,0,0,0,0,0,0,1.414928321,0.565971328,0.848956993,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,4,0,0,1,0,0,0,1,2,0,0,1,0,0,0,1,2,0,0,0.88343698,1.52956998,3.532729864,5.60E-05,3.533747911,1.76684594,1.76588392,3.532729864,0.000962019,3.533691883,3.53346491,0,3.533464909,3.533464909,3.533464909,3,2,0,0,Web_Brute_Force
172.16.0.1_44466_192.168.10.50_80_TCP_2017-07-06 08:19:27.749556,19:27.7,172.16.0.1,44466,192.168.10.50,80,TCP,4.050359011,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,40,32,35.2,3.91918359,104,40,32,34.66666667,3.77123617,72,40,32,36,4,0,0,0,29200,28960,0,0,0,0,0,0,0,0,0,0,0,1.234458473,0.493783389,0.740675084,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,4,0,0,1,0,0,0,1,2,0,0,1,0,0,0,1,2,0,0,1.01258975,1.75345552,4.049663782,6.32E-05,4.050359011,2.02514791,2.02451587,4.049663782,0.000632048,4.05029583,4.05026817,0,4.050268173,4.050268173,4.050268173,3,2,0,0,Web_Brute_Force
