flow_id,timestamp,src_ip,src_port,dst_ip,dst_port,protocol,duration,packets_count,fwd_packets_count,bwd_packets_count,total_payload_bytes,fwd_total_payload_bytes,bwd_total_payload_bytes,payload_bytes_max,payload_bytes_min,payload_bytes_mean,payload_bytes_std,payload_bytes_variance,fwd_payload_bytes_max,fwd_payload_bytes_min,fwd_payload_bytes_mean,fwd_payload_bytes_std,fwd_payload_bytes_variance,bwd_payload_bytes_max,bwd_payload_bytes_min,bwd_payload_bytes_mean,bwd_payload_bytes_std,bwd_payload_bytes_variance,total_header_bytes,max_header_bytes,min_header_bytes,mean_header_bytes,std_header_bytes,fwd_total_header_bytes,fwd_max_header_bytes,fwd_min_header_bytes,fwd_mean_header_bytes,fwd_std_header_bytes,bwd_total_header_bytes,bwd_max_header_bytes,bwd_min_header_bytes,bwd_mean_header_bytes,bwd_std_header_bytes,fwd_avg_segment_size,bwd_avg_segment_size,avg_segment_size,fwd_init_win_bytes,bwd_init_win_bytes,active_min,active_max,active_mean,active_std,idle_min,idle_max,idle_mean,idle_std,bytes_rate,fwd_bytes_rate,bwd_bytes_rate,packets_rate,bwd_packets_rate,fwd_packets_rate,down_up_rate,avg_fwd_bytes_per_bulk,avg_fwd_packets_per_bulk,avg_fwd_bulk_rate,avg_bwd_bytes_per_bulk,avg_bwd_packets_bulk_rate,avg_bwd_bulk_rate,fwd_bulk_state_count,fwd_bulk_total_size,fwd_bulk_per_packet,fwd_bulk_duration,bwd_bulk_state_count,bwd_bulk_total_size,bwd_bulk_per_packet,bwd_bulk_duration,fin_flag_counts,psh_flag_counts,urg_flag_counts,ece_flag_counts,syn_flag_counts,ack_flag_counts,cwr_flag_counts,rst_flag_counts,fwd_fin_flag_counts,fwd_psh_flag_counts,fwd_urg_flag_counts,fwd_ece_flag_counts,fwd_syn_flag_counts,fwd_ack_flag_counts,fwd_cwr_flag_counts,fwd_rst_flag_counts,bwd_fin_flag_counts,bwd_psh_flag_counts,bwd_urg_flag_counts,bwd_ece_flag_counts,bwd_syn_flag_counts,bwd_ack_flag_counts,bwd_cwr_flag_counts,bwd_rst_flag_counts,packets_IAT_mean,packet_IAT_std,packet_IAT_max,packet_IAT_min,packet_IAT_total,fwd_packets_IAT_mean,fwd_packets_IAT_std,fwd_packets_IAT_max,fwd_packets_IAT_min,fwd_packets_IAT_total,bwd_packets_IAT_mean,bwd_packets_IAT_std,bwd_packets_IAT_max,bwd_packets_IAT_min,bwd_packets_IAT_total,subflow_fwd_packets,subflow_bwd_packets,subflow_fwd_bytes,subflow_bwd_bytes,label
192.168.10.9_1841_205.174.165.73_8080_TCP_2017-07-07 09:04:13.990571,2017-07-07 09:04:13.990571,192.168.10.9,1841,205.174.165.73,8080,TCP,0.1353580951690673,8,4,4,322,194,128,194,0,40.25,71.64103224,5132.4375,194,0,40.25,71.64103224,7056.75,194,0,40.25,71.64103224,3072.0,184,32,20,23.0,5.19615242,92,32,20,23.0,5.19615242,92,32,20,23.0,5.19615242,48.5,32.0,40.25,8192,29200,0,0,0,0,0,0,0,0,2378.8750838862634,1433.2352989873762,945.6397848988872,59.10248655618046,29.55124327809023,29.55124327809023,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,2,2,0,0,2,7,0,0,1,1,0,0,1,3,0,0,1,1,0,0,1,4,0,0,0.01933687,0.04563772,0.1311230659484863,0.0001230239868164,0.1353580951690673,0.04493729,0.06215722,0.132840871810913,0.0009489059448242,0.1348118782043457,0.04484407,0.06100847,0.1311230659484863,0.0016601085662841,0.1345322132110595,0.0,0.0,0.0,0.0,Botnet_ARES
192.168.10.9_1845_205.174.165.73_8080_TCP_2017-07-07 09:04:24.131090,2017-07-07 09:04:24.131090,192.168.10.9,1845,205.174.165.73,8080,TCP,0.1285851001739502,8,4,4,322,194,128,194,0,40.25,71.64103224,5132.4375,194,0,40.25,71.64103224,7056.75,194,0,40.25,71.64103224,3072.0,184,32,20,23.0,5.19615242,92,32,20,23.0,5.19615242,92,32,20,23.0,5.19615242,48.5,32.0,40.25,8192,29200,0,0,0,0,0,0,0,0,2504.178163445047,1508.7284587215502,995.449704723497,62.21560654521856,31.10780327260928,31.10780327260928,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,2,2,0,0,2,7,0,0,1,1,0,0,1,3,0,0,1,1,0,0,1,4,0,0,0.0183693,0.04324157,0.1242859363555908,7.510185241699219e-05,0.1285851001739502,0.04259372,0.05892923,0.125931978225708,0.0007450580596923,0.1277811527252197,0.04263838,0.05773361,0.1242859363555908,0.0017011165618896,0.1279151439666748,0.0,0.0,0.0,0.0,Botnet_ARES
192.168.10.9_1846_205.174.165.73_8080_TCP_2017-07-07 09:04:34.262355,2017-07-07 09:04:34.262355,192.168.10.9,1846,205.174.165.73,8080,TCP,0.1663548946380615,10,5,5,325,194,131,194,0,32.5,65.92912862,4346.65,194,0,32.5,65.92912862,6021.76,194,0,32.5,65.92912862,2592.16,224,32,20,22.4,4.8,112,32,20,22.4,4.8,112,32,20,22.4,4.8,38.8,26.2,32.5,8192,29200,0,0,0,0,0,0,0,0,1953.654569089192,1166.1814966255483,787.4730724636435,60.11244827966744,30.05622413983372,30.05622413983372,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,2,3,0,0,2,9,0,0,1,1,0,0,1,4,0,0,1,2,0,0,1,5,0,0,0.01848388,0.05134106,0.1636970043182373,4.315376281738281e-05,0.1663548946380615,0.04145247,0.07103439,0.1644868850708007,4.315376281738281e-05,0.1658098697662353,0.04146725,0.07057071,0.1636970043182373,0.0002038478851318,0.1658689975738525,0.0,0.0,0.0,0.0,Botnet_ARES
192.168.10.9_1847_205.174.165.73_8080_TCP_2017-07-07 09:04:34.526581,2017-07-07 09:04:34.526581,192.168.10.9,1847,205.174.165.73,8080,TCP,0.0655488967895507,8,4,4,1986,1858,128,1858,0,248.25,609.86919704,371940.4375,1858,0,248.25,609.86919704,647280.75,1858,0,248.25,609.86919704,3072.0,184,32,20,23.0,5.19615242,92,32,20,23.0,5.19615242,92,32,20,23.0,5.19615242,464.5,32.0,248.25,8192,29200,0,0,0,0,0,0,0,0,30297.99275457204,28345.252033230037,1952.7407213420045,122.04629508387528,61.02314754193764,61.02314754193764,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,2,2,0,0,2,7,0,0,1,1,0,0,1,3,0,0,1,1,0,0,1,4,0,0,0.00936413,0.02158646,0.0622329711914062,5.507469177246094e-05,0.0655488967895507,0.02167765,0.03003956,0.0641579627990722,7.605552673339844e-05,0.065032958984375,0.02160168,0.0287315,0.0622329711914062,0.0010170936584472,0.0648050308227539,0.0,0.0,0.0,0.0,Botnet_ARES
192.168.10.9_1848_205.174.165.73_8080_TCP_2017-07-07 09:04:44.594895,2017-07-07 09:04:44.594895,192.168.10.9,1848,205.174.165.73,8080,TCP,0.0808720588684082,8,4,4,322,194,128,194,0,40.25,71.64103224,5132.4375,194,0,40.25,71.64103224,7056.75,194,0,40.25,71.64103224,3072.0,184,32,20,23.0,5.19615242,92,32,20,23.0,5.19615242,92,32,20,23.0,5.19615242,48.5,32.0,40.25,8192,29200,0,0,0,0,0,0,0,0,3981.5976556742,2398.850761493152,1582.7468941810484,98.92168088631551,49.46084044315776,49.46084044315776,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,2,2,0,0,2,7,0,0,1,1,0,0,1,3,0,0,1,1,0,0,1,4,0,0,0.01155315,0.02704389,0.0777919292449951,4.100799560546875e-05,0.0808720588684082,0.02670169,0.03721774,0.079334020614624,4.100799560546875e-05,0.0801050662994384,0.02676129,0.03608753,0.0777919292449951,0.0006370544433593,0.0802838802337646,0.0,0.0,0.0,0.0,Botnet_ARES
192.168.10.9_1851_205.174.165.73_8080_TCP_2017-07-07 09:04:54.742598,2017-07-07 09:04:54.742598,192.168.10.9,1851,205.174.165.73,8080,TCP,0.082676887512207,8,4,4,322,194,128,194,0,40.25,71.64103224,5132.4375,194,0,40.25,71.64103224,7056.75,194,0,40.25,71.64103224,3072.0,184,32,20,23.0,5.19615242,92,32,20,23.0,5.19615242,92,32,20,23.0,5.19615242,48.5,32.0,40.25,8192,29200,0,0,0,0,0,0,0,0,3894.67975499752,2346.4840759922945,1548.1956790052254,96.7622299378266,48.381114968913295,48.381114968913295,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,2,2,0,0,2,7,0,0,1,1,0,0,1,3,0,0,1,1,0,0,1,4,0,0,0.01181098,0.02786795,0.0800700187683105,1.9073486328125e-05,0.082676887512207,0.02734995,0.03819523,0.0813648700714111,1.9073486328125e-05,0.0820498466491699,0.02735662,0.03727559,0.0800700187683105,0.0005779266357421,0.0820698738098144,0.0,0.0,0.0,0.0,Botnet_ARES
192.168.10.9_1852_205.174.165.73_8080_TCP_2017-07-07 09:05:04.842957,2017-07-07 09:05:04.842957,192.168.10.9,1852,205.174.165.73,8080,TCP,0.0911600589752197,8,4,4,322,194,128,194,0,40.25,71.64103224,5132.4375,194,0,40.25,71.64103224,7056.75,194,0,40.25,71.64103224,3072.0,184,32,20,23.0,5.19615242,92,32,20,23.0,5.19615242,92,32,20,23.0,5.19615242,48.5,32.0,40.25,8192,29200,0,0,0,0,0,0,0,0,3532.2487021155844,2128.1249944423084,1404.1237076732757,87.75773172957973,43.878865864789866,43.878865864789866,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,2,2,0,0,2,7,0,0,1,1,0,0,1,3,0,0,1,1,0,0,1,4,0,0,0.01302287,0.03054871,0.0878469944000244,5.91278076171875e-05,0.0911600589752197,0.03011862,0.04190829,0.089383840560913,5.91278076171875e-05,0.0903558731079101,0.03012737,0.04081693,0.0878469944000244,0.000662088394165,0.0903820991516113,0.0,0.0,0.0,0.0,Botnet_ARES
192.168.10.9_1853_205.174.165.73_8080_TCP_2017-07-07 09:05:14.938948,2017-07-07 09:05:14.938948,192.168.10.9,1853,205.174.165.73,8080,TCP,0.0783159732818603,8,4,4,322,194,128,194,0,40.25,71.64103224,5132.4375,194,0,40.25,71.64103224,7056.75,194,0,40.25,71.64103224,3072.0,184,32,20,23.0,5.19615242,92,32,20,23.0,5.19615242,92,32,20,23.0,5.19615242,48.5,32.0,40.25,8192,29200,0,0,0,0,0,0,0,0,4111.549489924836,2477.1447237435345,1634.4047661813013,102.15029788633132,51.07514894316567,51.07514894316567,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,2,2,0,0,2,7,0,0,1,1,0,0,1,3,0,0,1,1,0,0,1,4,0,0,0.011188,0.02613268,0.0751950740814209,3.981590270996094e-05,0.0783159732818603,0.02583806,0.03593385,0.0766541957855224,3.981590270996094e-05,0.0775141716003418,0.02587867,0.034875,0.0751950740814209,0.0006570816040039,0.0776360034942627,0.0,0.0,0.0,0.0,Botnet_ARES
192.168.10.9_1854_205.174.165.73_8080_TCP_2017-07-07 09:05:25.032030,2017-07-07 09:05:25.032030,192.168.10.9,1854,205.174.165.73,8080,TCP,0.0762028694152832,8,4,4,322,194,128,194,0,40.25,71.64103224,5132.4375,194,0,40.25,71.64103224,7056.75,194,0,40.25,71.64103224,3072.0,184,32,20,23.0,5.19615242,92,32,20,23.0,5.19615242,92,32,20,23.0,5.19615242,48.5,32.0,40.25,8192,29200,0,0,0,0,0,0,0,0,4225.562665431859,2545.8358915955923,1679.726773836267,104.98292336476668,52.49146168238335,52.49146168238335,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,2,2,0,0,2,7,0,0,1,1,0,0,1,3,0,0,1,1,0,0,1,4,0,0,0.01088612,0.02550406,0.0733540058135986,4.315376281738281e-05,0.0762028694152832,0.02520927,0.03502282,0.0747368335723877,4.315376281738281e-05,0.0756278038024902,0.02516198,0.03407889,0.0733540058135986,0.0006160736083984,0.0754859447479248,0.0,0.0,0.0,0.0,Botnet_ARES
192.168.10.9_1857_205.174.165.73_8080_TCP_2017-07-07 09:05:35.125218,2017-07-07 09:05:35.125218,192.168.10.9,1857,205.174.165.73,8080,TCP,0.0833029747009277,8,4,4,322,194,128,194,0,40.25,71.64103224,5132.4375,194,0,40.25,71.64103224,7056.75,194,0,40.25,71.64103224,3072.0,184,32,20,23.0,5.19615242,92,32,20,23.0,5.19615242,92,32,20,23.0,5.19615242,48.5,32.0,40.25,8192,29200,0,0,0,0,0,0,0,0,3865.408182073166,2328.848407832901,1536.5597742402647,96.03498589001654,48.01749294500827,48.01749294500827,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,2,2,0,0,2,7,0,0,1,1,0,0,1,3,0,0,1,1,0,0,1,4,0,0,0.01190042,0.02805252,0.0806109905242919,5.698204040527344e-05,0.0833029747009277,0.02758201,0.03855126,0.0821008682250976,5.698204040527344e-05,0.0827460289001464,0.02761531,0.0374756,0.0806109905242919,0.0006439685821533,0.08284592628479,0.0,0.0,0.0,0.0,Botnet_ARES
